Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'---, ALISON';['B. CIUDAD DE BURGOS'];26.0;32.96;19.04;5.81;10.23;0.57;0.81;2.08;0.39;5.0;5.46;0.92;1.77;2.85;4.62;0.92;2.19;1.19;0.08;0.54;0.0;1.96;4.38;21.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, ANKE';['C.B.N.'];25.0;27.76;9.32;2.64;5.44;0.49;1.04;3.68;0.28;0.92;1.12;0.82;1.36;3.88;5.24;0.36;1.0;1.64;0.16;0.2;0.0;2.84;1.48;7.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, DESIRE';['C.B.N.'];26.0;19.46;6.69;1.62;3.42;0.47;0.69;1.69;0.41;1.38;1.5;0.92;0.42;1.69;2.12;0.77;0.81;1.15;0.08;0.15;0.0;2.15;1.23;5.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, ELENA';['UNIVERSITAT DE BARCELONA'];10.0;35.1;18.7;7.9;12.2;0.65;0.2;0.3;0.67;2.3;2.6;0.88;1.7;4.4;6.1;2.7;1.3;1.5;0.4;0.2;0.0;2.2;2.4;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, HEATRHER';['ANDALUCIA SOLO HAY UNA'];14.0;31.86;9.57;3.86;9.29;0.42;0.0;0.14;0.0;1.86;2.86;0.65;2.07;3.86;5.93;0.43;1.43;1.93;0.5;0.21;0.0;2.64;2.86;9.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, JULIA';['SALAMANCA HALCON VIAJES'];8.0;28.0;14.0;5.75;10.38;0.55;0.0;0.0;0.0;2.5;3.12;0.8;2.88;3.38;6.25;0.0;0.62;2.12;2.38;0.12;0.0;4.12;3.0;14.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, KELLY ANNE';['C.B.N.'];19.0;27.37;11.47;3.42;7.32;0.47;0.68;2.21;0.31;2.58;3.11;0.83;1.05;3.68;4.74;0.68;1.16;1.58;0.11;0.16;0.0;2.95;3.05;10.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, LILLIA';['C.B.N.'];22.0;32.91;16.86;4.95;9.77;0.51;1.27;2.86;0.44;3.14;4.86;0.64;1.91;3.23;5.14;2.41;2.55;2.59;0.36;0.27;0.0;2.55;3.68;17.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, LISA';['CB.STA.ROSA DE LIMA HORTA'];25.0;17.72;5.2;1.44;3.36;0.43;0.6;2.04;0.29;0.52;0.64;0.81;0.16;0.76;0.92;0.12;0.4;0.72;0.0;0.08;0.0;1.04;0.32;1.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, MARIE';['SANDRA GRAN CANARIA'];18.0;12.83;3.44;1.5;2.89;0.52;0.0;0.0;0.0;0.44;0.72;0.62;0.67;1.61;2.28;0.28;0.61;0.67;0.06;0.0;0.0;1.5;0.67;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
