Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
BROWN, BRITTANY DANIELLE;36.03;COOPER, SHAYLA JONIQUE;19.0;COOPER, SHAYLA JONIQUE;6.88;GIDDEN, VANESSA NICOLE;14.26;RODRIGUEZ DOMINGUEZ, NATALIA;0.67;FERRARI CALABRO, PAOLA ANDREA;2.92;FERRARI CALABRO, PAOLA ANDREA;8.04;VEGA REBORA, GISELA VERONICA;1.0;JENKINS, ALISIA LAJEWEL CHARLESNEIA;3.67;JENKINS, ALISIA LAJEWEL CHARLESNEIA;5.0;RODRIGUEZ NUEZ, CLARA;1.0;GIDDEN, VANESSA NICOLE;4.11;GIDDEN, VANESSA NICOLE;9.0;GIDDEN, VANESSA NICOLE;13.11;OCETE CASTILLO, GABRIELA;5.19;BARBEE, SHACOBIA SHAUNTE;3.0;STANACEV, ALEKSANDRA;3.38;GIDDEN, VANESSA NICOLE;1.26;GIDDEN, VANESSA NICOLE;0.74;GARCIA LOPEZ, PAULA;0.0;GONZALEZ PROPIN, MARIANA;3.96;BROWN, JOY ALEXIS;4.54;BARBEE, SHACOBIA SHAUNTE;18.77;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0;GARCIA LOPEZ, PAULA;0.0
FERRARI CALABRO, PAOLA ANDREA;35.13;FERRARI CALABRO, PAOLA ANDREA;18.81;BROWN, BRITTANY DANIELLE;5.88;BROWN, BRITTANY DANIELLE;13.54;ESPARCIA OMEDAS, CAROLINA;0.67;KRAKER, MEHRYN DONEGAN;2.46;JOVANOVIC, MILICA;6.84;SCOTT, JAMIE GRACE;0.47;BARBEE, SHACOBIA SHAUNTE;3.38;CALDWELL, TALIA ADAIAH;4.47;CABRERA ARGUELLO, PATRICIA;1.0;CALDWELL, TALIA ADAIAH;3.79;PEREZ ARAUJO, MARIA;7.35;ALLEYNE, JILLIAN CHANTEL;9.68;STANACEV, ALEKSANDRA;4.81;MARTINEZ PRAT, NURIA;2.35;BRKIC, IVA;3.08;NDOYE, BINETA;1.09;CALDWELL, TALIA ADAIAH;0.74;ROTERS DUBININA, MARIA;0.0;REISINGEROVA, JULIA SUSSANE;3.47;COOPER, SHAYLA JONIQUE;4.12;COOPER, SHAYLA JONIQUE;18.69;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0;ROTERS DUBININA, MARIA;0.0
BARBEE, SHACOBIA SHAUNTE;34.65;BROWN, BRITTANY DANIELLE;16.04;WEAVER, LYNDRA SHAJUAN;5.85;COOPER, SHAYLA JONIQUE;13.31;ROBINSON, ANGELICA DANIELLE;0.65;SCOTT, JAMIE GRACE;2.23;BUTLER, BRIANNA;6.46;DIEZ FERNANDEZ, NAIARA;0.47;WEAVER, LYNDRA SHAJUAN;3.27;BARBEE, SHACOBIA SHAUNTE;4.31;MARTIN LLAVERIA, MARIONA;1.0;JENKINS, ALISIA LAJEWEL CHARLESNEIA;3.39;ALLEYNE, JILLIAN CHANTEL;7.18;JENKINS, ALISIA LAJEWEL CHARLESNEIA;9.61;MARTINEZ PRAT, NURIA;4.27;SILVA SERRANO, ROSELIS CAROLINA;2.28;FERRARI CALABRO, PAOLA ANDREA;3.08;ALMINAITE, KRISITINA;1.04;BROWN, BRITTANY DANIELLE;0.73;MARTN CORRALES, CRISTINA;0.0;FERRARI CALABRO, PAOLA ANDREA;3.15;WEAVER, LYNDRA SHAJUAN;4.0;GIDDEN, VANESSA NICOLE;18.37;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0;MARTN CORRALES, CRISTINA;0.0
PEREZ ARAUJO, MARIA;33.7;WEAVER, LYNDRA SHAJUAN;15.65;GIDDEN, VANESSA NICOLE;5.68;WEAVER, LYNDRA SHAJUAN;12.92;GIVENS, KRISI TIJANA;0.63;BUTLER, BRIANNA;2.12;PRINCE, ALEXIS SADE;5.85;ROIG SOLER, LAURA;0.47;COOPER, SHAYLA JONIQUE;3.19;WEAVER, LYNDRA SHAJUAN;4.23;ROMEO, NICOLE ELAINE;0.93;FORSTER, JULIA CHRISTINE;3.08;COOPER, SHAYLA JONIQUE;6.31;CALDWELL, TALIA ADAIAH;9.21;BRKIC, IVA;3.92;FORSTER, JULIA CHRISTINE;2.27;WEAVER, LYNDRA SHAJUAN;3.0;PEREZ ARAUJO, MARIA;0.92;IVEZIC, JELENA;0.67;DAZ MAYORDOMO, MARINA;0.0;COOPER, SHAYLA JONIQUE;3.06;BARBEE, SHACOBIA SHAUNTE;4.0;PEREZ ARAUJO, MARIA;17.27;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0;DAZ MAYORDOMO, MARINA;0.0
SANCHEZ MARRUFO, BEATRIZ;33.65;PRINCE, ALEXIS SADE;15.54;GOMES COLHADO, NADIA;5.32;CALDWELL, TALIA ADAIAH;10.0;VANDERWAL, RACHAEL  ANN;0.61;JOVANOVIC, MILICA;2.11;KRAKER, MEHRYN DONEGAN;5.73;TRAORE, ASTOU;0.44;FERRARI CALABRO, PAOLA ANDREA;2.58;COOPER, SHAYLA JONIQUE;4.19;TRAORE, ASTOU;0.93;BROWN, JOY ALEXIS;3.08;JENKINS, ALISIA LAJEWEL CHARLESNEIA;6.22;BROWN, JOY ALEXIS;9.15;FERRARI CALABRO, PAOLA ANDREA;3.92;BROWN, BRITTANY DANIELLE;2.27;ESTEBAS ARMAS, PAULA;2.96;GOMES COLHADO, NADIA;0.84;ALLEYNE, JILLIAN CHANTEL;0.64;SANZ MAZON, MARTA;0.0;GOMES DA SILVA, SOFIA CAROLINA;2.96;JENKINS, ALISIA LAJEWEL CHARLESNEIA;3.94;ROBINSON, ANGELICA DANIELLE;16.74;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0;SANZ MAZON, MARTA;0.0
GIDDEN, VANESSA NICOLE;33.51;SCOTT, JAMIE GRACE;15.54;CALDWELL, TALIA ADAIAH;5.32;GOMES COLHADO, NADIA;9.92;DE SOUZA MACHADO, ERIKA CRISTINA;0.59;PRINCE, ALEXIS SADE;2.0;TUDANCA ACEDO, MARTA;4.84;MENDY, MAGALI;0.44;BROWN, BRITTANY DANIELLE;2.54;BROWN, BRITTANY DANIELLE;3.58;ALDALUR SOTO, ANE MIREN;0.91;EVANS, SHANTE MARIE;2.73;BROWN, JOY ALEXIS;6.08;PEREZ ARAUJO, MARIA;9.15;DOMINGUEZ FERNANDEZ, SILVIA;3.92;GIVENS, KRISI TIJANA;1.96;GIDDEN, VANESSA NICOLE;2.95;FORSTER, JULIA CHRISTINE;0.77;COOPER, SHAYLA JONIQUE;0.62;PEDROSA GARCIA, ALBA;0.0;FORSTER, JULIA CHRISTINE;2.92;GIDDEN, VANESSA NICOLE;3.89;FERRARI CALABRO, PAOLA ANDREA;16.12;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0;PEDROSA GARCIA, ALBA;0.0
ALSTON, AMERYST DANAE;33.01;BARBEE, SHACOBIA SHAUNTE;15.35;ABALDE DIAZ, TAMARA;4.77;FORSTER, JULIA CHRISTINE;9.88;ELONU, ADAORA NNENNA;0.58;PASIC, JOVANA;1.56;RILEY, ANDREA CHARMAINE;4.81;KRAKER, MEHRYN DONEGAN;0.43;RILEY, ANDREA CHARMAINE;2.5;FERRARI CALABRO, PAOLA ANDREA;3.58;MESTDAGH, KIM;0.91;COULIBALY, MARIAM ALOU;2.73;FORSTER, JULIA CHRISTINE;5.85;FORSTER, JULIA CHRISTINE;8.92;GOMEZ IGUAL, ANNA;3.88;MENDY, MAGALI;1.92;COOPER, SHAYLA JONIQUE;2.94;LO SYLLA, NOGAYE;0.64;PEREZ ARAUJO, MARIA;0.62;GARZO FERNANDEZ, YOLANDA;0.0;DIALLO DIENG, UMO DIALLO;2.77;LIZARAZU HERRERA, MARINA;3.85;BROWN, JOY ALEXIS;16.04;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0;GARZO FERNANDEZ, YOLANDA;0.0
LIZARAZU HERRERA, MARINA;32.69;RILEY, ANDREA CHARMAINE;13.73;RICHARDS, SHEREESHA NATHESHA;4.65;BARBEE, SHACOBIA SHAUNTE;9.73;LAHUERTA MENDOZA, IRENE;0.58;MESTDAGH, KIM;1.56;SCOTT, JAMIE GRACE;4.73;ROBINSON, ANGELICA DANIELLE;0.43;CALDWELL, TALIA ADAIAH;2.32;BROWN, JOY ALEXIS;3.5;GIVENS, KRISI TIJANA;0.9;GOMES COLHADO, NADIA;2.72;VEGA REBORA, GISELA VERONICA;5.78;COOPER, SHAYLA JONIQUE;8.88;PEREZ ARAUJO, MARIA;3.69;FERRARI CALABRO, PAOLA ANDREA;1.85;PEREZ ARAUJO, MARIA;2.85;DE SOUZA MACHADO, ERIKA CRISTINA;0.64;BROWN, JOY ALEXIS;0.54;BEDIA DELGADO, IZAR;0.0;GIDDEN, VANESSA NICOLE;2.74;BROWN, BRITTANY DANIELLE;3.73;ALLEYNE, JILLIAN CHANTEL;15.77;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0;BEDIA DELGADO, IZAR;0.0
OCETE CASTILLO, GABRIELA;32.68;GIDDEN, VANESSA NICOLE;13.32;ROBINSON, ANGELICA DANIELLE;4.52;ABALDE DIAZ, TAMARA;9.46;RAMIREZ, CAITLYN BROOK;0.57;VILA CABIR, MIREIA;1.53;VILA CABIR, MIREIA;4.47;ARIZTIMUO LOPEZ, ITZIAR;0.43;ABALDE DIAZ, TAMARA;2.27;VAN DEN ADEL, NATALIE ISABELLE;3.29;ROIG SOLER, LAURA;0.89;COOPER, SHAYLA JONIQUE;2.56;GINZO ARANTES, PAULA;5.72;GOMES COLHADO, NADIA;8.4;SELBY, SHAYANN RAQUEL;3.33;OCETE CASTILLO, GABRIELA;1.65;SARR, OUMOUL KHAIRY;2.73;REISINGEROVA, JULIA SUSSANE;0.63;BARBEE, SHACOBIA SHAUNTE;0.5;ESNAL AGUIRRE, ANE;0.0;SELBY, SHAYANN RAQUEL;2.67;PEREZ ARAUJO, MARIA;3.65;GOMES COLHADO, NADIA;15.52;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0;ESNAL AGUIRRE, ANE;0.0
COOPER, SHAYLA JONIQUE;32.67;ALSTON, AMERYST DANAE;13.31;BARBEE, SHACOBIA SHAUNTE;4.42;MENENDEZ ANTOLI, CELIA MARIA;9.0;BRKIC, IVA;0.57;TUDANCA ACEDO, MARTA;1.53;MESTDAGH, KIM;4.44;PINA TOLOSA, MARIA;0.41;VAN DEN ADEL, NATALIE ISABELLE;2.24;ABALDE DIAZ, TAMARA;3.27;CORRALES BOHOYO, ELENA;0.89;ALLEYNE, JILLIAN CHANTEL;2.5;GOMES COLHADO, NADIA;5.68;COULIBALY, MARIAM ALOU;7.69;BROWN, BRITTANY DANIELLE;3.19;PEREZ ARAUJO, MARIA;1.65;SELBY, SHAYANN RAQUEL;2.67;ROBINSON, ANGELICA DANIELLE;0.52;WEAVER, LYNDRA SHAJUAN;0.46;GUTIERREZ LANCHO, LUCIA;0.0;BRKIC, IVA;2.62;ABALDE DIAZ, TAMARA;3.54;SANCHEZ MARRUFO, BEATRIZ;15.52;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0;GUTIERREZ LANCHO, LUCIA;0.0
