Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];1.0;200.0;61.0;22.0;49.0;0.45;4.0;22.0;0.18;5.0;6.0;0.83;15.0;21.0;36.0;19.0;8.0;13.0;1.0;2.0;0.0;17.0;12.0;61.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];1.0;200.0;78.0;23.0;44.0;0.52;7.0;18.0;0.39;11.0;14.0;0.79;10.0;25.0;35.0;14.0;9.0;13.0;2.0;1.0;0.0;12.0;17.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];9.0;202.78;62.22;16.89;40.0;0.42;6.44;21.67;0.3;9.11;13.44;0.68;8.44;25.22;33.67;13.11;9.56;15.44;1.78;1.22;0.0;19.0;16.56;59.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];9.0;202.78;60.78;15.78;39.11;0.4;5.89;19.56;0.3;11.56;16.89;0.68;8.11;26.11;34.22;12.89;8.67;17.22;1.22;1.78;0.0;16.56;19.0;60.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];18.0;200.0;62.56;17.56;41.28;0.43;6.0;20.56;0.29;9.44;13.56;0.7;10.56;24.61;35.17;15.28;7.44;13.83;1.72;1.56;0.11;18.22;16.94;64.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];18.0;198.56;65.56;15.78;37.0;0.43;7.22;21.11;0.34;12.33;15.94;0.77;8.61;23.83;32.44;13.5;8.5;12.56;1.56;1.67;0.06;16.94;18.11;71.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];2.0;200.0;74.0;19.5;40.5;0.48;9.5;32.5;0.29;6.5;9.5;0.68;9.5;17.5;27.0;17.0;8.0;11.0;1.0;1.0;0.0;19.5;13.5;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];2.0;195.5;84.0;22.0;39.0;0.56;9.0;18.0;0.5;13.0;17.5;0.74;5.5;28.0;33.5;12.5;7.5;14.5;1.0;1.0;0.0;14.0;19.5;99.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU'] Equipo;['Media'];2.0;200.0;61.0;15.5;36.5;0.42;6.5;22.5;0.29;10.5;15.0;0.7;8.5;26.0;34.5;12.0;9.5;19.5;1.5;1.0;0.0;22.0;21.0;56.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU'] Equipo Rival;['Media Rival'];2.0;200.0;54.0;12.0;30.0;0.4;4.0;17.0;0.24;18.0;23.5;0.77;4.0;23.0;27.0;8.5;9.0;21.0;1.0;1.5;0.0;21.0;21.5;42.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
