Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,11,2,"5,5"
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,11,2,"5,5"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,29,6,"4,83"
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,Play-Offs Final,"IAGUPOVA, ALINA",VALENCIA B.C.,22,5,"4,4"
2024,Play-Offs Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,16,4,4
2024,Play-Offs Final,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,14,4,"3,5"
2024,Play-Offs Final,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,20,6,"3,33"
2024,Play-Offs Final,"FIEBICH, LEONIE",VALENCIA B.C.,19,6,"3,17"
2024,Play-Offs Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,6,2,3
2024,Play-Offs Final,"MELIA, CLAIRE",BAXI FERROL,6,2,3
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,3,1,3
2024,Play-Offs Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,12,4,3
2024,Play-Offs Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,10,4,"2,5"
2024,Play-Offs Final,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,Play-Offs Final,"MESTRES RICART, GALA",BAXI FERROL,5,2,"2,5"
2024,Play-Offs Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,9,4,"2,25"
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,9,4,"2,25"
2024,Play-Offs Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,9,4,"2,25"
2024,Play-Offs Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,9,4,"2,25"
2024,Play-Offs Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,13,6,"2,17"
2024,Play-Offs Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,4,2,2
2024,Play-Offs Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,4,2,2
2024,Play-Offs Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,11,6,"1,83"
2024,Play-Offs Final,"TATE, IMANI TY LEAH",SPAR GIRONA,7,4,"1,75"
2024,Play-Offs Final,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,7,4,"1,75"
2024,Play-Offs Final,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,10,6,"1,67"
2024,Play-Offs Final,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,1,2,"0,5"
