Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"MELIA, CLAIRE",BAXI FERROL,10,2,5
2024,Play-Offs Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,5,1,5
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,6,2,3
2024,Play-Offs Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs Final,"TATE, IMANI TY LEAH",SPAR GIRONA,11,4,"2,75"
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,16,6,"2,67"
2024,Play-Offs Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs Final,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs Final,"IAGUPOVA, ALINA",VALENCIA B.C.,12,5,"2,4"
2024,Play-Offs Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,14,6,"2,33"
2024,Play-Offs Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,9,4,"2,25"
2024,Play-Offs Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,4,2,2
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4,2,2
2024,Play-Offs Final,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,2,1,2
2024,Play-Offs Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,4,2,2
2024,Play-Offs Final,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,8,4,2
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,8,4,2
2024,Play-Offs Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,8,4,2
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,8,4,2
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,11,6,"1,83"
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,3,2,"1,5"
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,3,2,"1,5"
2024,Play-Offs Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,6,4,"1,5"
2024,Play-Offs Final,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,Play-Offs Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,Play-Offs Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,Play-Offs Final,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,Play-Offs Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,2,5,"0,4"
2024,Play-Offs Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,2,6,"0,33"
2024,Play-Offs Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,1,4,"0,25"
2024,Play-Offs Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,Play-Offs Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,Play-Offs Final,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,Play-Offs Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,2,5,"0,4"
2024,Play-Offs Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,2,6,"0,33"
2024,Play-Offs Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"MELIA, CLAIRE",BAXI FERROL,10,2,5
2024,Play-Offs 1/2 Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,5,1,5
2024,Play-Offs 1/2 Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,Play-Offs 1/2 Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs 1/2 Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,6,2,3
2024,Play-Offs 1/2 Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs 1/2 Final,"TATE, IMANI TY LEAH",SPAR GIRONA,11,4,"2,75"
2024,Play-Offs 1/2 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,Play-Offs 1/2 Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,11,4,"2,75"
2024,Play-Offs 1/2 Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs 1/2 Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs 1/2 Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs 1/2 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs 1/2 Final,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs 1/2 Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,9,4,"2,25"
2024,Play-Offs 1/2 Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,9,4,"2,25"
