Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,6,2,3
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,6,2,3
2024,Play-Offs Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,13,6,"2,17"
2024,Play-Offs Final,"TATE, IMANI TY LEAH",SPAR GIRONA,8,4,2
2024,Play-Offs Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,11,6,"1,83"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,11,6,"1,83"
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,7,4,"1,75"
2024,Play-Offs Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,7,4,"1,75"
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,7,4,"1,75"
2024,Play-Offs Final,"FIEBICH, LEONIE",VALENCIA B.C.,9,6,"1,5"
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,3,2,"1,5"
2024,Play-Offs Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,6,4,"1,5"
2024,Play-Offs Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,3,2,"1,5"
2024,Play-Offs Final,"IAGUPOVA, ALINA",VALENCIA B.C.,6,5,"1,2"
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,7,6,"1,17"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,7,6,"1,17"
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,2,2,1
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,2,2,1
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,2,2,1
