Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,Play-Offs Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,Play-Offs Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,14,4,"3,5"
2024,Play-Offs Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,7,2,"3,5"
2024,Play-Offs Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,7,2,"3,5"
2024,Play-Offs Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,13,4,"3,25"
2024,Play-Offs Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,6,2,3
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,6,2,3
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,3,1,3
2024,Play-Offs Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,6,2,3
2024,Play-Offs Final,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,6,2,3
2024,Play-Offs Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6,2,3
2024,Play-Offs Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,3,1,3
2024,Play-Offs Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,17,6,"2,83"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,17,6,"2,83"
2024,Play-Offs Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,11,4,"2,75"
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,Play-Offs Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,11,4,"2,75"
2024,Play-Offs Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,Play-Offs Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,16,6,"2,67"
2024,Play-Offs Final,"TATE, IMANI TY LEAH",SPAR GIRONA,10,4,"2,5"
2024,Play-Offs Final,"MATAIX GUILL, ANGELA",BAXI FERROL,5,2,"2,5"
2024,Play-Offs Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs Final,"MELIA, CLAIRE",BAXI FERROL,5,2,"2,5"
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs Final,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,14,6,"2,33"
2024,Play-Offs Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,14,6,"2,33"
2024,Play-Offs Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,14,6,"2,33"
2024,Play-Offs Final,"OMA GIRALT, HELENA",CASADEMONT ZARAGOZA,7,6,"1,17"
2024,Play-Offs Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,7,6,"1,17"
2024,Play-Offs Final,"JOINER, MOIRA MACY",BAXI FERROL,2,2,1
2024,Play-Offs Final,"RIBAS BOSCH, BERTA",SPAR GIRONA,1,1,1
