Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,10,2,5
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,9,2,"4,5"
2024,Play-Offs Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,Play-Offs Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,26,6,"4,33"
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,8,2,4
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,8,2,4
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,24,6,4
2024,Play-Offs Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,8,2,4
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,23,6,"3,83"
2024,Play-Offs Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,21,6,"3,5"
2024,Play-Offs Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,7,2,"3,5"
2024,Play-Offs Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs Final,"MELIA, CLAIRE",BAXI FERROL,7,2,"3,5"
2024,Play-Offs Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,13,4,"3,25"
2024,Play-Offs Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,13,4,"3,25"
2024,Play-Offs Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6,2,3
2024,Play-Offs Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,16,6,"2,67"
2024,Play-Offs Final,"FIEBICH, LEONIE",VALENCIA B.C.,15,6,"2,5"
2024,Play-Offs Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,10,4,"2,5"
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,5,2,"2,5"
2024,Play-Offs Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,10,4,"2,5"
