Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,7 / 7,4,100
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,6 / 6,2,100
2024,Play-Offs Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,6 / 6,4,100
2024,Play-Offs Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,5 / 5,4,100
2024,Play-Offs Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,4 / 4,4,100
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,4 / 4,2,100
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4 / 4,2,100
2024,Play-Offs Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,2 / 2,4,100
2024,Play-Offs Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,2 / 2,2,100
2024,Play-Offs Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2 / 2,2,100
2024,Play-Offs Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,2 / 2,2,100
2024,Play-Offs Final,"FIEBICH, LEONIE",VALENCIA B.C.,20 / 21,6,"95,24"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,18 / 19,6,"94,74"
2024,Play-Offs Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,8 / 9,6,"88,89"
2024,Play-Offs Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,12 / 14,6,"85,71"
2024,Play-Offs Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6 / 7,2,"85,71"
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,6 / 7,2,"85,71"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,17 / 20,6,85
