Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,8 / 10,4,80
2024,Play-Offs Final,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,3 / 4,2,75
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,10 / 14,2,"71,43"
2024,Play-Offs Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,9 / 13,4,"69,23"
2024,Play-Offs Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,4 / 6,2,"66,67"
2024,Play-Offs Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,2 / 3,5,"66,67"
2024,Play-Offs Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,13 / 20,2,65
2024,Play-Offs Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,16 / 25,6,64
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,14 / 22,2,"63,64"
2024,Play-Offs Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,17 / 27,4,"62,96"
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,19 / 31,6,"61,29"
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,6 / 10,2,60
2024,Play-Offs Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6 / 10,2,60
2024,Play-Offs Final,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,3 / 5,2,60
2024,Play-Offs Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,11 / 19,4,"57,89"
2024,Play-Offs Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,20 / 35,4,"57,14"
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,12 / 21,4,"57,14"
2024,Play-Offs Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,9 / 16,2,"56,25"
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,6 / 11,2,"54,55"
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,21 / 39,4,"53,85"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,29 / 54,6,"53,7"
2024,Play-Offs Final,"OMA GIRALT, HELENA",CASADEMONT ZARAGOZA,9 / 18,6,50
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,8 / 16,4,50
2024,Play-Offs Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,5 / 10,4,50
2024,Play-Offs Final,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,4 / 8,2,50
2024,Play-Offs Final,"JOINER, MOIRA MACY",BAXI FERROL,4 / 8,2,50
2024,Play-Offs Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,4 / 8,2,50
2024,Play-Offs Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,3 / 6,5,50
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,3 / 6,1,50
