Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,41,2,"20,5"
2024,Play-Offs Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,39,2,"19,5"
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,36,2,18
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,30,2,15
2024,Play-Offs Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,29,2,"14,5"
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,55,4,"13,75"
2024,Play-Offs Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,55,4,"13,75"
2024,Play-Offs Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,54,4,"13,5"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,79,6,"13,17"
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,25,2,"12,5"
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,12,1,12
2024,Play-Offs Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,72,6,12
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,70,6,"11,67"
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,46,4,"11,5"
2024,Play-Offs Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,22,2,11
2024,Play-Offs Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,22,2,11
2024,Play-Offs Final,"FIEBICH, LEONIE",VALENCIA B.C.,64,6,"10,67"
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,21,2,"10,5"
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,21,2,"10,5"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,63,6,"10,5"
2024,Play-Offs Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,40,4,10
2024,Play-Offs Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,40,4,10
2024,Play-Offs Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,60,6,10
2024,Play-Offs Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,20,2,10
2024,Play-Offs Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,37,4,"9,25"
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,37,4,"9,25"
2024,Play-Offs Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,55,6,"9,17"
2024,Play-Offs Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,18,2,9
2024,Play-Offs Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,18,2,9
2024,Play-Offs Final,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,18,2,9
2024,Play-Offs Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,21,6,"3,5"
2024,Play-Offs Final,"MESTRES RICART, GALA",BAXI FERROL,7,2,"3,5"
2024,Play-Offs Final,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,3,1,3
