Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,34,4,"8,5"
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,29,4,"7,25"
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,14,2,7
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,12,2,6
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,12,2,6
2024,Play-Offs Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,11,2,"5,5"
2024,Play-Offs Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,11,2,"5,5"
2024,Play-Offs Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,5,1,5
2024,Play-Offs Final,"MESTRES RICART, GALA",BAXI FERROL,10,2,5
2024,Play-Offs Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,19,4,"4,75"
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,Play-Offs Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,Play-Offs Final,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,Play-Offs Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,8,2,4
2024,Play-Offs Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,24,6,4
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,4,1,4
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,8,2,4
2024,Play-Offs Final,"IAGUPOVA, ALINA",VALENCIA B.C.,19,5,"3,8"
2024,Play-Offs Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,15,4,"3,75"
2024,Play-Offs Final,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,15,4,"3,75"
2024,Play-Offs Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,22,6,"3,67"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,22,6,"3,67"
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,22,6,"3,67"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,22,6,"3,67"
2024,Play-Offs Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,21,6,"3,5"
2024,Play-Offs Final,"MELIA, CLAIRE",BAXI FERROL,7,2,"3,5"
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,7,2,"3,5"
2024,Play-Offs Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,14,4,"3,5"
2024,Play-Offs Final,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,7,2,"3,5"
2024,Play-Offs Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,7,2,"3,5"
2024,Play-Offs Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,5,4,"1,25"
2024,Play-Offs Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,6,5,"1,2"
2024,Play-Offs Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,2,2,1
2024,Play-Offs Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,2,2,1
2024,Play-Offs Final,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,1,1,1
2024,Play-Offs Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,2,2,1
2024,Play-Offs Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,6,6,1
2024,Play-Offs Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs Final,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,2,2,1
