Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,24,6,4
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,15,4,"3,75"
2024,Play-Offs Final,"JOINER, MOIRA MACY",BAXI FERROL,5,2,"2,5"
2024,Play-Offs Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,15,6,"2,5"
2024,Play-Offs Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,4,2,2
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,4,2,2
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4,2,2
2024,Play-Offs Final,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,4,2,2
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,4,2,2
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,4,2,2
2024,Play-Offs Final,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,Play-Offs Final,"MELIA, CLAIRE",BAXI FERROL,3,2,"1,5"
2024,Play-Offs Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,3,2,"1,5"
2024,Play-Offs Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,3,2,"1,5"
2024,Play-Offs Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,Play-Offs Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,5,4,"1,25"
2024,Play-Offs Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,4,4,1
2024,Play-Offs Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,2,2,1
2024,Play-Offs Final,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,Play-Offs Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,2,2,1
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,6,6,1
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,1,1,1
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,2,2,1
2024,Play-Offs Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,4,4,1
2024,Play-Offs Final,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,2,2,1
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,4,4,1
2024,Play-Offs Final,"MENENDEZ TORRES, CARLOTA",BAXI FERROL,2,2,1
2024,Play-Offs Final,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,1,6,"0,17"
2024,Play-Offs Final,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,1,6,"0,17"
2024,Play-Offs 1/2 Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,17,4,"4,25"
2024,Play-Offs 1/2 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,15,4,"3,75"
2024,Play-Offs 1/2 Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,12,4,3
2024,Play-Offs 1/2 Final,"JOINER, MOIRA MACY",BAXI FERROL,5,2,"2,5"
2024,Play-Offs 1/2 Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs 1/2 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,Play-Offs 1/2 Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,4,2,2
2024,Play-Offs 1/2 Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,4,2,2
2024,Play-Offs 1/2 Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4,2,2
2024,Play-Offs 1/2 Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,4,2,2
2024,Play-Offs 1/2 Final,"MILLAN MODIA, BLANCA",BAXI FERROL,4,2,2
2024,Play-Offs 1/2 Final,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,4,2,2
