Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,49,4,"12,25"
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,18,2,9
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,17,2,"8,5"
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,33,4,"8,25"
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,16,2,8
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,46,6,"7,67"
2024,Play-Offs Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,14,2,7
2024,Play-Offs Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,13,2,"6,5"
2024,Play-Offs Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,13,2,"6,5"
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,12,2,6
2024,Play-Offs Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,12,2,6
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,12,2,6
2024,Play-Offs Final,"MELIA, CLAIRE",BAXI FERROL,10,2,5
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,5,1,5
2024,Play-Offs Final,"MESTRES RICART, GALA",BAXI FERROL,10,2,5
2024,Play-Offs Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,5,1,5
2024,Play-Offs Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,30,6,5
2024,Play-Offs Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,20,4,5
2024,Play-Offs Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,19,4,"4,75"
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,28,6,"4,67"
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,9,2,"4,5"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,27,6,"4,5"
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,9,2,"4,5"
2024,Play-Offs Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,9,2,"4,5"
2024,Play-Offs Final,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,Play-Offs Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,26,6,"4,33"
2024,Play-Offs Final,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,17,4,"4,25"
2024,Play-Offs Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,17,4,"4,25"
2024,Play-Offs Final,"IAGUPOVA, ALINA",VALENCIA B.C.,21,5,"4,2"
2024,Play-Offs Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,25,6,"4,17"
2024,Play-Offs Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,9,5,"1,8"
2024,Play-Offs Final,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,7,4,"1,75"
2024,Play-Offs Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,7,4,"1,75"
2024,Play-Offs Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,7,4,"1,75"
