Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,3,2,"1,5"
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,5,4,"1,25"
2024,Play-Offs Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,1,1,1
2024,Play-Offs Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,2,2,1
2024,Play-Offs Final,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,2,2,1
2024,Play-Offs Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,5,6,"0,83"
2024,Play-Offs Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,Play-Offs Final,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,3,6,"0,5"
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,Play-Offs Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,3,6,"0,5"
2024,Play-Offs Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,2,6,"0,33"
2024,Play-Offs Final,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,2,6,"0,33"
2024,Play-Offs Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,6,"0,33"
2024,Play-Offs Final,"FIEBICH, LEONIE",VALENCIA B.C.,2,6,"0,33"
2024,Play-Offs Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,1,4,"0,25"
2024,Play-Offs Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,1,5,"0,2"
2024,Play-Offs Final,"IAGUPOVA, ALINA",VALENCIA B.C.,1,5,"0,2"
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,6,"0,17"
2024,Play-Offs Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,1,6,"0,17"
2024,Play-Offs Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,1,6,"0,17"
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,1,6,"0,17"
2024,Play-Offs Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,1,6,"0,17"
2024,Play-Offs 1/2 Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,3,2,"1,5"
2024,Play-Offs 1/2 Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,5,4,"1,25"
2024,Play-Offs 1/2 Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,4,4,1
2024,Play-Offs 1/2 Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs 1/2 Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,1,1,1
2024,Play-Offs 1/2 Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,2,2,1
2024,Play-Offs 1/2 Final,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,2,2,1
2024,Play-Offs 1/2 Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,Play-Offs 1/2 Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,3,4,"0,75"
2024,Play-Offs 1/2 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,Play-Offs 1/2 Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,4,"0,5"
2024,Play-Offs 1/2 Final,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/2 Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/2 Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs 1/2 Final,"FIEBICH, LEONIE",VALENCIA B.C.,2,4,"0,5"
2024,Play-Offs 1/2 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs 1/2 Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,2,4,"0,5"
2024,Play-Offs 1/2 Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,1,4,"0,25"
2024,Play-Offs 1/2 Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,1,4,"0,25"
2024,Play-Offs 1/2 Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,4,"0,25"
2024,Play-Offs 1/2 Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,1,4,"0,25"
2024,Play-Offs 1/2 Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs 1/4 Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,3,2,"1,5"
2024,Play-Offs 1/4 Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,3,2,"1,5"
2024,Play-Offs 1/4 Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,2,2,1
2024,Play-Offs 1/4 Final,"FIEBICH, LEONIE",VALENCIA B.C.,2,2,1
2024,Play-Offs 1/4 Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,2,2,1
2024,Play-Offs 1/4 Final,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,2,2,1
2024,Play-Offs 1/4 Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,2,2,1
2024,Play-Offs 1/4 Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,2,2,1
2024,Play-Offs 1/4 Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,1,1,1
