Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,49,2,"24,5"
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,83,4,"20,75"
2024,Play-Offs Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,39,2,"19,5"
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,71,4,"17,75"
2024,Play-Offs Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,35,2,"17,5"
2024,Play-Offs Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,103,6,"17,17"
2024,Play-Offs Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,34,2,17
2024,Play-Offs Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,34,2,17
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,96,6,16
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,30,2,15
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,30,2,15
2024,Play-Offs Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,30,2,15
2024,Play-Offs Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,85,6,"14,17"
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,14,1,14
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,28,2,14
2024,Play-Offs Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,26,2,13
2024,Play-Offs Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,51,4,"12,75"
2024,Play-Offs Final,"FIEBICH, LEONIE",VALENCIA B.C.,76,6,"12,67"
2024,Play-Offs Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,50,4,"12,5"
2024,Play-Offs Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,70,6,"11,67"
2024,Play-Offs Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,45,4,"11,25"
2024,Play-Offs Final,"IAGUPOVA, ALINA",VALENCIA B.C.,56,5,"11,2"
2024,Play-Offs Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,67,6,"11,17"
2024,Play-Offs Final,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,22,2,11
2024,Play-Offs Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,44,4,11
2024,Play-Offs Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,40,4,10
2024,Play-Offs Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,59,6,"9,83"
2024,Play-Offs Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,58,6,"9,67"
2024,Play-Offs Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,57,6,"9,5"
2024,Play-Offs Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,35,4,"8,75"
2024,Play-Offs Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,6,2,3
2024,Play-Offs Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,14,5,"2,8"
2024,Play-Offs Final,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,Play-Offs Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,9,5,"1,8"
2024,Play-Offs Final,"MATAIX GUILL, ANGELA",BAXI FERROL,3,2,"1,5"
2024,Play-Offs Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,7,6,"1,17"
2024,Play-Offs Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,2,2,1
2024,Play-Offs Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,6,6,1
2024,Play-Offs Final,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,Play-Offs Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,2,3,"0,67"
2024,Play-Offs Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,-1,5,"-0,2"
2024,Play-Offs Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,-2,4,"-0,5"
2024,Play-Offs Final,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,-2,2,-1
2024,Play-Offs Final,"RIBAS BOSCH, BERTA",SPAR GIRONA,-1,1,-1
2024,Play-Offs Final,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,-5,2,"-2,5"
2024,Play-Offs Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,6,2,3
2024,Play-Offs Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,14,5,"2,8"
2024,Play-Offs Final,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,Play-Offs Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,9,5,"1,8"
2024,Play-Offs Final,"MATAIX GUILL, ANGELA",BAXI FERROL,3,2,"1,5"
2024,Play-Offs Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,7,6,"1,17"
2024,Play-Offs Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,2,2,1
2024,Play-Offs Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,6,6,1
2024,Play-Offs Final,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,Play-Offs Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,2,3,"0,67"
2024,Play-Offs Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,-1,5,"-0,2"
2024,Play-Offs Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,-2,4,"-0,5"
2024,Play-Offs Final,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,-2,2,-1
2024,Play-Offs Final,"RIBAS BOSCH, BERTA",SPAR GIRONA,-1,1,-1
2024,Play-Offs Final,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,-5,2,"-2,5"
2024,Play-Offs 1/2 Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,49,2,"24,5"
2024,Play-Offs 1/2 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,83,4,"20,75"
2024,Play-Offs 1/2 Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,39,2,"19,5"
2024,Play-Offs 1/2 Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,72,4,18
2024,Play-Offs 1/2 Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,71,4,"17,75"
2024,Play-Offs 1/2 Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,35,2,"17,5"
2024,Play-Offs 1/2 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,34,2,17
2024,Play-Offs 1/2 Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,65,4,"16,25"
2024,Play-Offs 1/2 Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,64,4,16
2024,Play-Offs 1/2 Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,30,2,15
2024,Play-Offs 1/2 Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,30,2,15
2024,Play-Offs 1/2 Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,30,2,15
2024,Play-Offs 1/2 Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,60,4,15
2024,Play-Offs 1/2 Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,14,1,14
2024,Play-Offs 1/2 Final,"MILLAN MODIA, BLANCA",BAXI FERROL,28,2,14
2024,Play-Offs 1/2 Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,55,4,"13,75"
2024,Play-Offs 1/2 Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,54,4,"13,5"
2024,Play-Offs 1/2 Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,26,2,13
2024,Play-Offs 1/2 Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,51,4,"12,75"
2024,Play-Offs 1/2 Final,"IAGUPOVA, ALINA",VALENCIA B.C.,38,3,"12,67"
2024,Play-Offs 1/2 Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,50,4,"12,5"
2024,Play-Offs 1/2 Final,"FIEBICH, LEONIE",VALENCIA B.C.,48,4,12
2024,Play-Offs 1/2 Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,12,1,12
2024,Play-Offs 1/2 Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,48,4,12
2024,Play-Offs 1/2 Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,47,4,"11,75"
2024,Play-Offs 1/2 Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,45,4,"11,25"
2024,Play-Offs 1/2 Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,44,4,11
2024,Play-Offs 1/2 Final,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,22,2,11
2024,Play-Offs 1/2 Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,40,4,10
2024,Play-Offs 1/2 Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,35,4,"8,75"
2024,Play-Offs 1/2 Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,8,3,"2,67"
2024,Play-Offs 1/2 Final,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs 1/2 Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,Play-Offs 1/2 Final,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,8,4,2
2024,Play-Offs 1/2 Final,"MATAIX GUILL, ANGELA",BAXI FERROL,3,2,"1,5"
2024,Play-Offs 1/2 Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,5,4,"1,25"
2024,Play-Offs 1/2 Final,"OMA GIRALT, HELENA",CASADEMONT ZARAGOZA,5,4,"1,25"
2024,Play-Offs 1/2 Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs 1/2 Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs 1/2 Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,2,2,1
2024,Play-Offs 1/2 Final,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,Play-Offs 1/2 Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,2,3,"0,67"
