Temporada,Jugador,Equipo,Tot,Part,Med
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,28,5,"5,6"
2024,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,11,2,"5,5"
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,11,2,"5,5"
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,21,4,"5,25"
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,16,4,4
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,20,5,4
2024,"FIEBICH, LEONIE",VALENCIA B.C.,18,5,"3,6"
2024,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,14,4,"3,5"
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,12,4,3
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,3,1,3
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,6,2,3
2024,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,6,2,3
2024,"MELIA, CLAIRE",BAXI FERROL,6,2,3
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,3,1,3
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,8,3,"2,67"
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,13,5,"2,6"
2024,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,10,4,"2,5"
2024,"MESTRES RICART, GALA",BAXI FERROL,5,2,"2,5"
2024,"HRISTOVA, BORISLAVA",SPAR GIRONA,9,4,"2,25"
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,9,4,"2,25"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,9,4,"2,25"
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,11,5,"2,2"
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,4,2,2
2024,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,4,2,2
2024,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,10,5,2
2024,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,7,4,"1,75"
2024,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,2,4,"0,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,2,5,"0,4"
2024,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,2,5,"0,4"
2024,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,2,5,"0,4"
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,2,4,"0,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,2,5,"0,4"
