Temporada,Jugador,Equipo,Tot,Part,Med
2024,"MELIA, CLAIRE",BAXI FERROL,10,2,5
2024,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,5,1,5
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,6,2,3
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,6,2,3
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,15,5,3
2024,"TATE, IMANI TY LEAH",SPAR GIRONA,11,4,"2,75"
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,12,5,"2,4"
2024,"HRISTOVA, BORISLAVA",SPAR GIRONA,9,4,"2,25"
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,4,2,2
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4,2,2
2024,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,2,1,2
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,4,2,2
2024,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,8,4,2
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,8,4,2
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,8,4,2
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,8,4,2
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,9,5,"1,8"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,8,5,"1,6"
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,8,5,"1,6"
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,3,2,"1,5"
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,3,2,"1,5"
2024,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,6,4,"1,5"
2024,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,2,5,"0,4"
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,1,3,"0,33"
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,1,4,"0,25"
2024,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,1,5,"0,2"
2024,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,2,5,"0,4"
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,1,3,"0,33"
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,1,4,"0,25"
2024,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,1,5,"0,2"
2023,"GERVASINI LACORZANA , AINHOA",CASADEMONT ZARAGOZA,2,4,"0,5"
2023,"AIJANEN, MARIA ANNIINA",BAXI FERROL,1,2,"0,5"
2023,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,2,4,"0,5"
2023,"DE SANTIAGO OTERO, BEGOÑA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2023,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,2,6,"0,33"
2023,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,2,6,"0,33"
2023,"GIMENO MARTINEZ, VEGA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"ERAUNCETAMURGIL AYESTARAN, MARIA",VALENCIA B.C.,1,5,"0,2"
2023,"GERVASINI LACORZANA , AINHOA",CASADEMONT ZARAGOZA,2,4,"0,5"
2023,"AIJANEN, MARIA ANNIINA",BAXI FERROL,1,2,"0,5"
2023,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,2,4,"0,5"
2023,"DE SANTIAGO OTERO, BEGOÑA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2023,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,2,6,"0,33"
2023,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,2,6,"0,33"
2023,"GIMENO MARTINEZ, VEGA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"ERAUNCETAMURGIL AYESTARAN, MARIA",VALENCIA B.C.,1,5,"0,2"
2023,"GERVASINI LACORZANA , AINHOA",CASADEMONT ZARAGOZA,2,4,"0,5"
2023,"AIJANEN, MARIA ANNIINA",BAXI FERROL,1,2,"0,5"
2023,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,2,4,"0,5"
2023,"DE SANTIAGO OTERO, BEGOÑA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2023,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,2,6,"0,33"
2023,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,2,6,"0,33"
2023,"GIMENO MARTINEZ, VEGA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"ERAUNCETAMURGIL AYESTARAN, MARIA",VALENCIA B.C.,1,5,"0,2"
2022,"CAZORLA MEDINA, MARIA TERESA",PERFUMERIAS AVENIDA,4,6,"0,67"
2022,"NOGIC, JOVANA",PERFUMERIAS AVENIDA,3,5,"0,6"
2022,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,2,"0,5"
2022,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"MUHATE PEÑA, CECILIA",SPAR GIRONA,1,2,"0,5"
2022,"MOLLENHAUER, ALEXANDRA JOY",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"SALVADORES ALVAREZ, ANGELA",VALENCIA B.C.,3,6,"0,5"
2022,"ANDERSON, JOLENE NANCY",BARÇA CBS,2,4,"0,5"
2022,"BUENAVIDA ESTEVEZ, ELENA",VALENCIA B.C.,2,5,"0,4"
2022,"FAM THIAM, AWA",VALENCIA B.C.,2,5,"0,4"
2022,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,6,"0,33"
2022,"GUERRERO ALCANTARA, CAROLINA",BARÇA CBS,1,4,"0,25"
2022,"CAZORLA MEDINA, MARIA TERESA",PERFUMERIAS AVENIDA,4,6,"0,67"
2022,"NOGIC, JOVANA",PERFUMERIAS AVENIDA,3,5,"0,6"
2022,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,2,"0,5"
2022,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"MUHATE PEÑA, CECILIA",SPAR GIRONA,1,2,"0,5"
2022,"MOLLENHAUER, ALEXANDRA JOY",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"SALVADORES ALVAREZ, ANGELA",VALENCIA B.C.,3,6,"0,5"
2022,"ANDERSON, JOLENE NANCY",BARÇA CBS,2,4,"0,5"
2022,"BUENAVIDA ESTEVEZ, ELENA",VALENCIA B.C.,2,5,"0,4"
2022,"FAM THIAM, AWA",VALENCIA B.C.,2,5,"0,4"
2022,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,6,"0,33"
2022,"GUERRERO ALCANTARA, CAROLINA",BARÇA CBS,1,4,"0,25"
2022,"CAZORLA MEDINA, MARIA TERESA",PERFUMERIAS AVENIDA,4,6,"0,67"
2022,"NOGIC, JOVANA",PERFUMERIAS AVENIDA,3,5,"0,6"
2022,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,2,"0,5"
2022,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"MUHATE PEÑA, CECILIA",SPAR GIRONA,1,2,"0,5"
2022,"MOLLENHAUER, ALEXANDRA JOY",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"SALVADORES ALVAREZ, ANGELA",VALENCIA B.C.,3,6,"0,5"
2022,"ANDERSON, JOLENE NANCY",BARÇA CBS,2,4,"0,5"
2022,"BUENAVIDA ESTEVEZ, ELENA",VALENCIA B.C.,2,5,"0,4"
2022,"FAM THIAM, AWA",VALENCIA B.C.,2,5,"0,4"
2022,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,6,"0,33"
2022,"GUERRERO ALCANTARA, CAROLINA",BARÇA CBS,1,4,"0,25"
2021,"CORNELIUS, LAURA",IDK EUSKOTREN,1,2,"0,5"
2021,"CASAS CARRERAS, QUERALT",VALENCIA B.C.,3,6,"0,5"
2021,"CONDE DURAN, ITSASO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2021,"BETTENCOURT CORREIA, MARIA JOAO",CASADEMONT ZARAGOZA,1,2,"0,5"
2021,"SAMUELSON, KARLIE ANNE",PERFUMERIAS AVENIDA,3,6,"0,5"
2021,"DIALLO DIENG , UMO DIALLO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2021,"ELONU, ADAORA NNENNA",PERFUMERIAS AVENIDA,3,6,"0,5"
2021,"HIGGS, LASHANN AISHA",LOINTEK GERNIKA BIZKAIA,1,2,"0,5"
2021,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,2,6,"0,33"
2021,"BROTONS PASCUAL, MONTSERRAT",CADI LA SEU,1,3,"0,33"
2021,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,4,"0,25"
2021,"GERMAN VELASCO, ICIAR",VALENCIA B.C.,1,5,"0,2"
2021,"CORNELIUS, LAURA",IDK EUSKOTREN,1,2,"0,5"
2021,"CASAS CARRERAS, QUERALT",VALENCIA B.C.,3,6,"0,5"
2021,"CONDE DURAN, ITSASO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2021,"BETTENCOURT CORREIA, MARIA JOAO",CASADEMONT ZARAGOZA,1,2,"0,5"
2021,"SAMUELSON, KARLIE ANNE",PERFUMERIAS AVENIDA,3,6,"0,5"
2021,"DIALLO DIENG , UMO DIALLO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2021,"ELONU, ADAORA NNENNA",PERFUMERIAS AVENIDA,3,6,"0,5"
2021,"HIGGS, LASHANN AISHA",LOINTEK GERNIKA BIZKAIA,1,2,"0,5"
2021,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,2,6,"0,33"
2021,"BROTONS PASCUAL, MONTSERRAT",CADI LA SEU,1,3,"0,33"
2021,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,4,"0,25"
2021,"GERMAN VELASCO, ICIAR",VALENCIA B.C.,1,5,"0,2"
2021,"CORNELIUS, LAURA",IDK EUSKOTREN,1,2,"0,5"
2021,"CASAS CARRERAS, QUERALT",VALENCIA B.C.,3,6,"0,5"
2021,"CONDE DURAN, ITSASO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2021,"BETTENCOURT CORREIA, MARIA JOAO",CASADEMONT ZARAGOZA,1,2,"0,5"
2021,"SAMUELSON, KARLIE ANNE",PERFUMERIAS AVENIDA,3,6,"0,5"
2021,"DIALLO DIENG , UMO DIALLO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2021,"ELONU, ADAORA NNENNA",PERFUMERIAS AVENIDA,3,6,"0,5"
2021,"HIGGS, LASHANN AISHA",LOINTEK GERNIKA BIZKAIA,1,2,"0,5"
2021,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,2,6,"0,33"
2021,"BROTONS PASCUAL, MONTSERRAT",CADI LA SEU,1,3,"0,33"
2021,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,4,"0,25"
2021,"GERMAN VELASCO, ICIAR",VALENCIA B.C.,1,5,"0,2"
2020,"RODRIGUEZ MANSO, LEONOR DEL PILAR",PERFUMERIAS AVENIDA,6,7,"0,86"
2020,"ROUNDTREE, MARGARET YVETTE",LOINTEK GERNIKA BIZKAIA,3,4,"0,75"
2020,"JUSKAITE, LAURA",VALENCIA B.C.,5,7,"0,71"
2020,"SAMUELSON, KARLIE ANNE",PERFUMERIAS AVENIDA,5,7,"0,71"
2020,"ALARIE, ISABELLA AUGUSTINE",PERFUMERIAS AVENIDA,5,7,"0,71"
2020,"ARROJO JIMENEZ, MARIA BELEN",LOINTEK GERNIKA BIZKAIA,2,4,"0,5"
2020,"N'DIAYE, DJENEBA",SPAR GRAN CANARIA,1,2,"0,5"
2020,"OMA GIRALT, HELENA",DURÁN MAQUINARIA ENSINO,1,2,"0,5"
2020,"SANTIBAÑEZ HERRERO, INES",PERFUMERIAS AVENIDA,1,2,"0,5"
2020,"HARTMANN, ALINA WAYAN",SPAR GRAN CANARIA,1,2,"0,5"
2020,"ABDI, FARHIYA",CIUDAD DE LA LAGUNA TENERIFE,1,2,"0,5"
2020,"LABUCKIENE, GIEDRE",SPAR GIRONA,2,4,"0,5"
2020,"FLORES COSTA, LAIA",SPAR GIRONA,1,2,"0,5"
2020,"DIALLO DIENG , UMO DIALLO",PERFUMERIAS AVENIDA,1,3,"0,33"
2020,"IVANOVIC, MILICA",LOINTEK GERNIKA BIZKAIA,1,4,"0,25"
2020,"PINA TOLOSA, MARIA",VALENCIA B.C.,1,5,"0,2"
2020,"RODRIGUEZ MANSO, LEONOR DEL PILAR",PERFUMERIAS AVENIDA,6,7,"0,86"
2020,"ROUNDTREE, MARGARET YVETTE",LOINTEK GERNIKA BIZKAIA,3,4,"0,75"
2020,"JUSKAITE, LAURA",VALENCIA B.C.,5,7,"0,71"
2020,"SAMUELSON, KARLIE ANNE",PERFUMERIAS AVENIDA,5,7,"0,71"
2020,"ALARIE, ISABELLA AUGUSTINE",PERFUMERIAS AVENIDA,5,7,"0,71"
2020,"ARROJO JIMENEZ, MARIA BELEN",LOINTEK GERNIKA BIZKAIA,2,4,"0,5"
2020,"N'DIAYE, DJENEBA",SPAR GRAN CANARIA,1,2,"0,5"
2020,"OMA GIRALT, HELENA",DURÁN MAQUINARIA ENSINO,1,2,"0,5"
2020,"SANTIBAÑEZ HERRERO, INES",PERFUMERIAS AVENIDA,1,2,"0,5"
2020,"HARTMANN, ALINA WAYAN",SPAR GRAN CANARIA,1,2,"0,5"
2020,"ABDI, FARHIYA",CIUDAD DE LA LAGUNA TENERIFE,1,2,"0,5"
2020,"LABUCKIENE, GIEDRE",SPAR GIRONA,2,4,"0,5"
2020,"FLORES COSTA, LAIA",SPAR GIRONA,1,2,"0,5"
2020,"DIALLO DIENG , UMO DIALLO",PERFUMERIAS AVENIDA,1,3,"0,33"
2020,"IVANOVIC, MILICA",LOINTEK GERNIKA BIZKAIA,1,4,"0,25"
2020,"PINA TOLOSA, MARIA",VALENCIA B.C.,1,5,"0,2"
2020,"RODRIGUEZ MANSO, LEONOR DEL PILAR",PERFUMERIAS AVENIDA,6,7,"0,86"
2020,"ROUNDTREE, MARGARET YVETTE",LOINTEK GERNIKA BIZKAIA,3,4,"0,75"
2020,"JUSKAITE, LAURA",VALENCIA B.C.,5,7,"0,71"
2020,"SAMUELSON, KARLIE ANNE",PERFUMERIAS AVENIDA,5,7,"0,71"
2020,"ALARIE, ISABELLA AUGUSTINE",PERFUMERIAS AVENIDA,5,7,"0,71"
2020,"ARROJO JIMENEZ, MARIA BELEN",LOINTEK GERNIKA BIZKAIA,2,4,"0,5"
2020,"N'DIAYE, DJENEBA",SPAR GRAN CANARIA,1,2,"0,5"
2020,"OMA GIRALT, HELENA",DURÁN MAQUINARIA ENSINO,1,2,"0,5"
2020,"SANTIBAÑEZ HERRERO, INES",PERFUMERIAS AVENIDA,1,2,"0,5"
2020,"HARTMANN, ALINA WAYAN",SPAR GRAN CANARIA,1,2,"0,5"
2020,"ABDI, FARHIYA",CIUDAD DE LA LAGUNA TENERIFE,1,2,"0,5"
2020,"LABUCKIENE, GIEDRE",SPAR GIRONA,2,4,"0,5"
2020,"FLORES COSTA, LAIA",SPAR GIRONA,1,2,"0,5"
2020,"DIALLO DIENG , UMO DIALLO",PERFUMERIAS AVENIDA,1,3,"0,33"
2020,"IVANOVIC, MILICA",LOINTEK GERNIKA BIZKAIA,1,4,"0,25"
2020,"PINA TOLOSA, MARIA",VALENCIA B.C.,1,5,"0,2"
2019,"REISINGEROVA , JULIA SUSSANE",VALENCIA B.C.,1,2,"0,5"
2019,"FAGBENLE, TEMITOPE TITILOLA",PERFUMERIAS AVENIDA,1,3,"0,33"
2019,"REISINGEROVA , JULIA SUSSANE",VALENCIA B.C.,1,2,"0,5"
2019,"FAGBENLE, TEMITOPE TITILOLA",PERFUMERIAS AVENIDA,1,3,"0,33"
2019,"REISINGEROVA , JULIA SUSSANE",VALENCIA B.C.,1,2,"0,5"
2019,"FAGBENLE, TEMITOPE TITILOLA",PERFUMERIAS AVENIDA,1,3,"0,33"
2018,"MAZIONYTE, GINTARE",LOINTEK GERNIKA BIZKAIA,2,3,"0,67"
