Temporada,Jugador,Equipo,Tot,Part,Med
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,6,2,3
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,13,5,"2,6"
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,10,5,2
2024,"TATE, IMANI TY LEAH",SPAR GIRONA,8,4,2
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,9,5,"1,8"
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,7,4,"1,75"
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,7,4,"1,75"
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,7,4,"1,75"
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,3,2,"1,5"
2024,"HRISTOVA, BORISLAVA",SPAR GIRONA,6,4,"1,5"
2024,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,3,2,"1,5"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,7,5,"1,4"
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,5,4,"1,25"
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,6,5,"1,2"
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,2,2,1
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,2,2,1
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,2,2,1
2024,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,2,2,1
2024,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,2,2,1
2024,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,4,4,1
2024,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,1,1,1
2024,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,"MESTRES RICART, GALA",BAXI FERROL,2,2,1
2024,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,1,1,1
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,5,5,1
2024,"MENENDEZ TORRES, CARLOTA",BAXI FERROL,2,2,1
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,2,2,1
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,4,4,1
2024,"JOINER, MOIRA MACY",BAXI FERROL,2,2,1
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,1,4,"0,25"
2024,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,1,4,"0,25"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,1,5,"0,2"
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,1,4,"0,25"
2024,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,1,4,"0,25"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,1,5,"0,2"
2023,"POINTER, KHAYLA NICOLE",CASADEMONT ZARAGOZA,1,3,"0,33"
2023,"GULBE, ALEKSA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"HOLESINSKA, PETRA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"TOLO, MARIANNA",SPAR GIRONA,1,4,"0,25"
2023,"HATAR, BERNADETT",PERFUMERIAS AVENIDA,1,6,"0,17"
2023,"POINTER, KHAYLA NICOLE",CASADEMONT ZARAGOZA,1,3,"0,33"
2023,"GULBE, ALEKSA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"HOLESINSKA, PETRA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"TOLO, MARIANNA",SPAR GIRONA,1,4,"0,25"
2023,"HATAR, BERNADETT",PERFUMERIAS AVENIDA,1,6,"0,17"
2023,"POINTER, KHAYLA NICOLE",CASADEMONT ZARAGOZA,1,3,"0,33"
2023,"GULBE, ALEKSA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"HOLESINSKA, PETRA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"TOLO, MARIANNA",SPAR GIRONA,1,4,"0,25"
2023,"HATAR, BERNADETT",PERFUMERIAS AVENIDA,1,6,"0,17"
2022,"GATLING, MARKEISHA CHERTE",CASADEMONT ZARAGOZA,1,4,"0,25"
2022,"FAM THIAM, AWA",VALENCIA B.C.,1,5,"0,2"
2022,"REISINGEROVA , JULIA SUSSANE",PERFUMERIAS AVENIDA,1,6,"0,17"
2022,"GULICH, MARIE ISABELLE",VALENCIA B.C.,1,6,"0,17"
2022,"GATLING, MARKEISHA CHERTE",CASADEMONT ZARAGOZA,1,4,"0,25"
2022,"FAM THIAM, AWA",VALENCIA B.C.,1,5,"0,2"
2022,"REISINGEROVA , JULIA SUSSANE",PERFUMERIAS AVENIDA,1,6,"0,17"
2022,"GULICH, MARIE ISABELLE",VALENCIA B.C.,1,6,"0,17"
2022,"GATLING, MARKEISHA CHERTE",CASADEMONT ZARAGOZA,1,4,"0,25"
2022,"FAM THIAM, AWA",VALENCIA B.C.,1,5,"0,2"
2022,"REISINGEROVA , JULIA SUSSANE",PERFUMERIAS AVENIDA,1,6,"0,17"
2022,"GULICH, MARIE ISABELLE",VALENCIA B.C.,1,6,"0,17"
2021,"SEGURA MORENO, LORENA",VALENCIA B.C.,1,5,"0,2"
2021,"GERMAN VELASCO, ICIAR",VALENCIA B.C.,1,5,"0,2"
2021,"ELONU, ADAORA NNENNA",PERFUMERIAS AVENIDA,1,6,"0,17"
2021,"GULICH, MARIE ISABELLE",VALENCIA B.C.,1,6,"0,17"
2021,"SEGURA MORENO, LORENA",VALENCIA B.C.,1,5,"0,2"
2021,"GERMAN VELASCO, ICIAR",VALENCIA B.C.,1,5,"0,2"
2021,"ELONU, ADAORA NNENNA",PERFUMERIAS AVENIDA,1,6,"0,17"
2021,"GULICH, MARIE ISABELLE",VALENCIA B.C.,1,6,"0,17"
2021,"SEGURA MORENO, LORENA",VALENCIA B.C.,1,5,"0,2"
2021,"GERMAN VELASCO, ICIAR",VALENCIA B.C.,1,5,"0,2"
2021,"ELONU, ADAORA NNENNA",PERFUMERIAS AVENIDA,1,6,"0,17"
2021,"GULICH, MARIE ISABELLE",VALENCIA B.C.,1,6,"0,17"
2020,"ALARIE, ISABELLA AUGUSTINE",PERFUMERIAS AVENIDA,3,7,"0,43"
2020,"GULICH, MARIE ISABELLE",VALENCIA B.C.,3,7,"0,43"
2020,"DIALLO DIENG , UMO DIALLO",PERFUMERIAS AVENIDA,1,3,"0,33"
2020,"GIL COLLADO, LAURA",VALENCIA B.C.,1,3,"0,33"
2020,"LO SYLLA, NOGAYE",LOINTEK GERNIKA BIZKAIA,1,3,"0,33"
2020,"TRAHAN DAVIS, CELESTE",VALENCIA B.C.,2,7,"0,29"
2020,"ARIZTIMUÑO LOPEZ , ITZIAR",LOINTEK GERNIKA BIZKAIA,1,4,"0,25"
2020,"PALAU ALTES, LAIA",SPAR GIRONA,1,4,"0,25"
2020,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,1,5,"0,2"
2020,"PINA TOLOSA, MARIA",VALENCIA B.C.,1,5,"0,2"
2020,"GOMEZ IGUAL, ANNA",VALENCIA B.C.,1,7,"0,14"
2020,"ALARIE, ISABELLA AUGUSTINE",PERFUMERIAS AVENIDA,3,7,"0,43"
2020,"GULICH, MARIE ISABELLE",VALENCIA B.C.,3,7,"0,43"
2020,"DIALLO DIENG , UMO DIALLO",PERFUMERIAS AVENIDA,1,3,"0,33"
2020,"GIL COLLADO, LAURA",VALENCIA B.C.,1,3,"0,33"
2020,"LO SYLLA, NOGAYE",LOINTEK GERNIKA BIZKAIA,1,3,"0,33"
2020,"TRAHAN DAVIS, CELESTE",VALENCIA B.C.,2,7,"0,29"
2020,"ARIZTIMUÑO LOPEZ , ITZIAR",LOINTEK GERNIKA BIZKAIA,1,4,"0,25"
