Temporada,Jugador,Equipo,Tot,Part,Med
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,14,4,"3,5"
2024,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,7,2,"3,5"
2024,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,7,2,"3,5"
2024,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,13,4,"3,25"
2024,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,6,2,3
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,6,2,3
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,6,2,3
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,3,1,3
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,6,2,3
2024,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,6,2,3
2024,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6,2,3
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,15,5,3
2024,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,3,1,3
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,14,5,"2,8"
2024,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,14,5,"2,8"
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,11,4,"2,75"
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,8,3,"2,67"
2024,"TATE, IMANI TY LEAH",SPAR GIRONA,10,4,"2,5"
2024,"MATAIX GUILL, ANGELA",BAXI FERROL,5,2,"2,5"
2024,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,"MELIA, CLAIRE",BAXI FERROL,5,2,"2,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,9,4,"2,25"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,11,5,"2,2"
2024,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,11,5,"2,2"
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,2,2,1
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,1,1,1
2024,"JOINER, MOIRA MACY",BAXI FERROL,2,2,1
2024,"RIBAS BOSCH, BERTA",SPAR GIRONA,1,1,1
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,2,2,1
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,2,2,1
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,3,3,1
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,4,5,"0,8"
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,3,4,"0,75"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,3,5,"0,6"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"MESTRES RICART, GALA",BAXI FERROL,1,2,"0,5"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,2,5,"0,4"
