Temporada,Jugador,Equipo,Tot,Part,Med
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,10,2,5
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,23,5,"4,6"
2024,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,9,2,"4,5"
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,8,2,4
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,8,2,4
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,20,5,4
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,20,5,4
2024,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,8,2,4
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,18,5,"3,6"
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,7,2,"3,5"
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,"MELIA, CLAIRE",BAXI FERROL,7,2,"3,5"
2024,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,13,4,"3,25"
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,13,4,"3,25"
2024,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6,2,3
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,6,2,3
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,13,5,"2,6"
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,13,5,"2,6"
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,10,4,"2,5"
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,10,4,"2,5"
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,12,5,"2,4"
2024,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,12,5,"2,4"
2024,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,9,4,"2,25"
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,9,4,"2,25"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,11,5,"2,2"
2024,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,4,5,"0,8"
2024,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,3,4,"0,75"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,3,4,"0,75"
2024,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,3,4,"0,75"
2024,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"JOINER, MOIRA MACY",BAXI FERROL,1,2,"0,5"
2024,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,"OMA GIRALT, HELENA",CASADEMONT ZARAGOZA,2,5,"0,4"
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,1,3,"0,33"
2024,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,4,5,"0,8"
2024,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,3,4,"0,75"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,3,4,"0,75"
2024,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,3,4,"0,75"
2024,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"JOINER, MOIRA MACY",BAXI FERROL,1,2,"0,5"
2024,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,"OMA GIRALT, HELENA",CASADEMONT ZARAGOZA,2,5,"0,4"
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,1,3,"0,33"
2024,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,1,4,"0,25"
2023,"GINZO ARANTES, PAULA",VALENCIA B.C.,5,6,"0,83"
2023,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,5,6,"0,83"
2023,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,3,4,"0,75"
2023,"GULBE, ALEKSA",CASADEMONT ZARAGOZA,3,4,"0,75"
2023,"POINTER, KHAYLA NICOLE",CASADEMONT ZARAGOZA,2,3,"0,67"
2023,"NICHOLSON, LAUREN MARIE",SPAR GIRONA,2,3,"0,67"
2023,"KALIN, MARIANNE FANNY",BAXI FERROL,1,2,"0,5"
2023,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,3,6,"0,5"
2023,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,4,"0,5"
2023,"WESTERIK, LAURA",IDK EUSKOTREN,1,2,"0,5"
2023,"FAM THIAM, AWA",VALENCIA B.C.,1,2,"0,5"
2023,"FEQUIERE, JESSICA",BAXI FERROL,1,2,"0,5"
2023,"NELSON, CHELSEA KEIANA",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2023,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,1,4,"0,25"
2023,"GINZO ARANTES, PAULA",VALENCIA B.C.,5,6,"0,83"
2023,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,5,6,"0,83"
2023,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,3,4,"0,75"
2023,"GULBE, ALEKSA",CASADEMONT ZARAGOZA,3,4,"0,75"
2023,"POINTER, KHAYLA NICOLE",CASADEMONT ZARAGOZA,2,3,"0,67"
2023,"NICHOLSON, LAUREN MARIE",SPAR GIRONA,2,3,"0,67"
2023,"KALIN, MARIANNE FANNY",BAXI FERROL,1,2,"0,5"
2023,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,3,6,"0,5"
2023,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,4,"0,5"
2023,"WESTERIK, LAURA",IDK EUSKOTREN,1,2,"0,5"
2023,"FAM THIAM, AWA",VALENCIA B.C.,1,2,"0,5"
2023,"FEQUIERE, JESSICA",BAXI FERROL,1,2,"0,5"
2023,"NELSON, CHELSEA KEIANA",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2023,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,1,4,"0,25"
2023,"GINZO ARANTES, PAULA",VALENCIA B.C.,5,6,"0,83"
2023,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,5,6,"0,83"
2023,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,3,4,"0,75"
2023,"GULBE, ALEKSA",CASADEMONT ZARAGOZA,3,4,"0,75"
2023,"POINTER, KHAYLA NICOLE",CASADEMONT ZARAGOZA,2,3,"0,67"
2023,"NICHOLSON, LAUREN MARIE",SPAR GIRONA,2,3,"0,67"
2023,"KALIN, MARIANNE FANNY",BAXI FERROL,1,2,"0,5"
2023,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,3,6,"0,5"
2023,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,4,"0,5"
2023,"WESTERIK, LAURA",IDK EUSKOTREN,1,2,"0,5"
2023,"FAM THIAM, AWA",VALENCIA B.C.,1,2,"0,5"
2023,"FEQUIERE, JESSICA",BAXI FERROL,1,2,"0,5"
2023,"NELSON, CHELSEA KEIANA",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2023,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,1,4,"0,25"
2022,"SALVADORES ALVAREZ, ANGELA",VALENCIA B.C.,4,6,"0,67"
2022,"FAM THIAM, AWA",VALENCIA B.C.,3,5,"0,6"
2022,"GULBE, ALEKSA",PERFUMERIAS AVENIDA,3,5,"0,6"
2022,"ALONSO DE ARMIÑO RIAÑO, GRACIA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"MESKONYTE , GABIJA",LOINTEK GERNIKA BIZKAIA,1,2,"0,5"
2022,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,2,"0,5"
2022,"VUCETIC, JELENA",CADI LA SEU,1,2,"0,5"
2022,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"GUERRERO ALCANTARA, CAROLINA",BARÇA CBS,2,4,"0,5"
2022,"STRAUTMANE, PAULA",CADI LA SEU,1,2,"0,5"
2022,"CONDE DURAN, ITSASO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"MOLLENHAUER, ALEXANDRA JOY",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"MIRCHEVA, VIKTORIA VLADIMIROVNA",BARÇA CBS,1,4,"0,25"
2022,"ANDERSON, JOLENE NANCY",BARÇA CBS,1,4,"0,25"
2022,"SALVADORES ALVAREZ, ANGELA",VALENCIA B.C.,4,6,"0,67"
2022,"FAM THIAM, AWA",VALENCIA B.C.,3,5,"0,6"
2022,"GULBE, ALEKSA",PERFUMERIAS AVENIDA,3,5,"0,6"
2022,"ALONSO DE ARMIÑO RIAÑO, GRACIA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"MESKONYTE , GABIJA",LOINTEK GERNIKA BIZKAIA,1,2,"0,5"
2022,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,2,"0,5"
2022,"VUCETIC, JELENA",CADI LA SEU,1,2,"0,5"
2022,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"GUERRERO ALCANTARA, CAROLINA",BARÇA CBS,2,4,"0,5"
2022,"STRAUTMANE, PAULA",CADI LA SEU,1,2,"0,5"
2022,"CONDE DURAN, ITSASO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"MOLLENHAUER, ALEXANDRA JOY",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"MIRCHEVA, VIKTORIA VLADIMIROVNA",BARÇA CBS,1,4,"0,25"
2022,"ANDERSON, JOLENE NANCY",BARÇA CBS,1,4,"0,25"
2022,"SALVADORES ALVAREZ, ANGELA",VALENCIA B.C.,4,6,"0,67"
2022,"FAM THIAM, AWA",VALENCIA B.C.,3,5,"0,6"
2022,"GULBE, ALEKSA",PERFUMERIAS AVENIDA,3,5,"0,6"
2022,"ALONSO DE ARMIÑO RIAÑO, GRACIA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"MESKONYTE , GABIJA",LOINTEK GERNIKA BIZKAIA,1,2,"0,5"
2022,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,1,2,"0,5"
2022,"VUCETIC, JELENA",CADI LA SEU,1,2,"0,5"
2022,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,2,4,"0,5"
2022,"GUERRERO ALCANTARA, CAROLINA",BARÇA CBS,2,4,"0,5"
2022,"STRAUTMANE, PAULA",CADI LA SEU,1,2,"0,5"
2022,"CONDE DURAN, ITSASO",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"MOLLENHAUER, ALEXANDRA JOY",MOVISTAR ESTUDIANTES,1,2,"0,5"
2022,"MIRCHEVA, VIKTORIA VLADIMIROVNA",BARÇA CBS,1,4,"0,25"
2022,"ANDERSON, JOLENE NANCY",BARÇA CBS,1,4,"0,25"
