Temporada,Jugador,Equipo,Tot,Part,Med
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,71:58,2,35:59
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,67:45,2,33:52
2024,"FIEBICH, LEONIE",VALENCIA B.C.,168:33,5,33:42
2024,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,65:24,2,32:42
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,129:16,4,32:19
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,63:57,2,31:58
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,123:17,4,30:49
2024,"MATAIX GUILL, ANGELA",BAXI FERROL,61:23,2,30:41
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,120:45,4,30:11
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,120:30,4,30:07
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,149:51,5,29:58
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,119:45,4,29:56
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,59:47,2,29:53
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,145:48,5,29:09
2024,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,58:10,2,29:05
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,115:20,4,28:50
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,57:25,2,28:42
2024,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,57:23,2,28:41
2024,"MELIA, CLAIRE",BAXI FERROL,57:16,2,28:38
2024,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,56:48,2,28:24
2024,"HRISTOVA, BORISLAVA",SPAR GIRONA,113:28,4,28:22
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,141:22,5,28:16
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,138:22,5,27:40
2024,"JOINER, MOIRA MACY",BAXI FERROL,53:51,2,26:55
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,53:44,2,26:52
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,132:28,5,26:29
2024,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,51:51,2,25:55
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,51:30,2,25:45
2024,"TATE, IMANI TY LEAH",SPAR GIRONA,102:23,4,25:35
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,126:06,5,25:13
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,47:44,3,15:54
2024,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,71:17,5,14:15
2024,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,27:44,2,13:52
2024,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,52:15,4,13:03
2024,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,63:12,5,12:38
2024,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,25:00,2,12:30
2024,"MENENDEZ TORRES, CARLOTA",BAXI FERROL,24:57,2,12:28
2024,"OMA GIRALT, HELENA",CASADEMONT ZARAGOZA,60:35,5,12:07
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,34:56,3,11:38
2024,"DAVIS, JORI N.",BAXI FERROL,11:37,1,11:37
2024,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,53:56,5,10:47
2024,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,20:17,2,10:08
