Temporada,Jugador,Equipo,Tot,Part,Med
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,7 / 7,4,100
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,6 / 6,2,100
2024,"HRISTOVA, BORISLAVA",SPAR GIRONA,6 / 6,4,100
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,5 / 5,4,100
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,4 / 4,2,100
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4 / 4,2,100
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,3 / 3,5,100
2024,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,2 / 2,2,100
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,2 / 2,1,100
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2 / 2,2,100
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,2 / 2,4,100
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,2 / 2,2,100
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,16 / 17,5,"94,12"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,12 / 13,5,"92,31"
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,11 / 12,5,"91,67"
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,8 / 9,5,"88,89"
2024,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6 / 7,2,"85,71"
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,15 / 18,5,"83,33"
2024,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,5 / 6,5,"83,33"
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,5 / 6,4,"83,33"
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,5 / 6,2,"83,33"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,9 / 11,5,"81,82"
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,8 / 10,4,80
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,14 / 18,5,"77,78"
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,17 / 22,5,"77,27"
2024,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,6 / 8,2,75
2024,"MELIA, CLAIRE",BAXI FERROL,3 / 4,2,75
2024,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,3 / 4,2,75
2024,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,3 / 4,5,75
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,10 / 14,5,"71,43"
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,7 / 7,4,100
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,6 / 6,2,100
2024,"HRISTOVA, BORISLAVA",SPAR GIRONA,6 / 6,4,100
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,5 / 5,4,100
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,4 / 4,2,100
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4 / 4,2,100
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,3 / 3,5,100
2024,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,2 / 2,2,100
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,2 / 2,1,100
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2 / 2,2,100
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,2 / 2,4,100
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,2 / 2,2,100
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,16 / 17,5,"94,12"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,12 / 13,5,"92,31"
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,11 / 12,5,"91,67"
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,8 / 9,5,"88,89"
