Temporada,Jugador,Equipo,Tot,Part,Med
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,7 / 9,4,"77,78"
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,2 / 3,4,"66,67"
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,2 / 3,1,"66,67"
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,6 / 10,5,60
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,3 / 5,3,60
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,3 / 5,2,60
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,5 / 9,4,"55,56"
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,8 / 16,5,50
2024,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,3 / 6,4,50
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,3 / 6,2,50
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,2 / 4,2,50
2024,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,2 / 4,1,50
2024,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,2 / 4,2,50
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,1 / 2,1,50
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1 / 2,2,50
2024,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,1 / 2,2,50
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,1 / 2,3,50
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,10 / 22,5,"45,45"
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,4 / 9,2,"44,44"
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,11 / 25,4,44
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,6 / 14,5,"42,86"
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,6 / 14,2,"42,86"
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,6 / 14,4,"42,86"
2024,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,3 / 7,4,"42,86"
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,2 / 5,4,40
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,6 / 16,4,"37,5"
2024,"JOINER, MOIRA MACY",BAXI FERROL,3 / 8,2,"37,5"
2024,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,3 / 8,2,"37,5"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,8 / 22,5,"36,36"
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,8 / 22,5,"36,36"
2024,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,0 / 3,2,0
2024,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,0 / 3,2,0
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,0 / 2,2,0
2024,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,0 / 2,2,0
2024,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,0 / 3,2,0
2024,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,0 / 3,2,0
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,0 / 2,2,0
2024,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,0 / 2,2,0
2023,"BETTENCOURT CORREIA, MARIA JOAO",HOZONO GLOBAL JAIRIS,0 / 2,2,0
2023,"WESTERIK, LAURA",IDK EUSKOTREN,0 / 2,2,0
2023,"BETTENCOURT CORREIA, MARIA JOAO",HOZONO GLOBAL JAIRIS,0 / 2,2,0
2023,"WESTERIK, LAURA",IDK EUSKOTREN,0 / 2,2,0
2023,"BETTENCOURT CORREIA, MARIA JOAO",HOZONO GLOBAL JAIRIS,0 / 2,2,0
2023,"WESTERIK, LAURA",IDK EUSKOTREN,0 / 2,2,0
2022,"GRETTER, MELISA PAOLA",MOVISTAR ESTUDIANTES,0 / 3,2,0
2022,"GRETTER, MELISA PAOLA",MOVISTAR ESTUDIANTES,0 / 3,2,0
2022,"GRETTER, MELISA PAOLA",MOVISTAR ESTUDIANTES,0 / 3,2,0
2021,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,2 / 8,6,25
2021,"BUCH ROSELL, ROSO",LOINTEK GERNIKA BIZKAIA,2 / 8,2,25
2021,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,1 / 4,2,25
2021,"OUVIÑA MODREGO, CRISTINA",VALENCIA B.C.,5 / 23,6,"21,74"
2021,"DE SANTIAGO OTERO, BEGOÑA",MOVISTAR ESTUDIANTES,2 / 10,2,20
2021,"CALHOUN, SIERRA LASHE",CASADEMONT ZARAGOZA,2 / 10,2,20
2021,"SEGURA MORENO, LORENA",VALENCIA B.C.,1 / 5,5,20
2021,"CASAS CARRERAS, QUERALT",VALENCIA B.C.,1 / 5,6,20
2021,"BURKE, KENNEDY VALENTINE",SPAR GIRONA,3 / 16,4,"18,75"
2021,"GULICH, MARIE ISABELLE",VALENCIA B.C.,2 / 11,6,"18,18"
2021,"GERMAN VELASCO, ICIAR",VALENCIA B.C.,1 / 6,5,"16,67"
2021,"DRAMMEH, BINTA MOMMY DAISY",SPAR GIRONA,1 / 7,3,"14,29"
2021,"COX, LAUREN ELIZABETH",IDK EUSKOTREN,1 / 7,2,"14,29"
2021,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,1 / 9,6,"11,11"
2021,"GRETTER, MELISA PAOLA",MOVISTAR ESTUDIANTES,0 / 7,2,0
2021,"ESPAÑA ALMENDRO, MARIA",IDK EUSKOTREN,0 / 6,2,0
2021,"BRCANINOVIC, MELISA",LOINTEK GERNIKA BIZKAIA,0 / 5,2,0
2021,"REISINGEROVA , JULIA SUSSANE",SPAR GIRONA,0 / 5,4,0
2021,"ORTIZ VIVES, MARIONA",MOVISTAR ESTUDIANTES,0 / 4,2,0
2021,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,0 / 3,6,0
2021,"DIAZ CASTELLANO, YURENA",IDK EUSKOTREN,0 / 3,2,0
2021,"SOLER RAMIÓ, JÚLIA",CADI LA SEU,0 / 3,4,0
