Temporada,Jugador,Equipo,Tot,Part,Med
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,41,2,"20,5"
2024,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,39,2,"19,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,36,2,18
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,30,2,15
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,29,2,"14,5"
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,55,4,"13,75"
2024,"HRISTOVA, BORISLAVA",SPAR GIRONA,55,4,"13,75"
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,68,5,"13,6"
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,54,4,"13,5"
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,64,5,"12,8"
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,25,2,"12,5"
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,12,1,12
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,58,5,"11,6"
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,46,4,"11,5"
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,57,5,"11,4"
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,22,2,11
2024,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,22,2,11
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,21,2,"10,5"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,52,5,"10,4"
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,51,5,"10,2"
2024,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,20,2,10
2024,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,40,4,10
2024,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,40,4,10
