Temporada,Jugador,Equipo,Tot,Part,Med
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,34,4,"8,5"
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,29,4,"7,25"
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,14,2,7
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,12,2,6
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,12,2,6
2024,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,11,2,"5,5"
2024,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,11,2,"5,5"
2024,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,5,1,5
2024,"MESTRES RICART, GALA",BAXI FERROL,10,2,5
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,19,4,"4,75"
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,22,5,"4,4"
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,8,2,4
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,4,1,4
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,4,1,4
2024,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,8,2,4
2024,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,19,5,"3,8"
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,19,5,"3,8"
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,15,4,"3,75"
2024,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,15,4,"3,75"
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,18,5,"3,6"
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,14,4,"3,5"
2024,"MELIA, CLAIRE",BAXI FERROL,7,2,"3,5"
2024,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,14,4,"3,5"
2024,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,7,2,"3,5"
2024,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,7,2,"3,5"
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,17,5,"3,4"
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,17,5,"3,4"
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,5,4,"1,25"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,6,5,"1,2"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,6,5,"1,2"
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,2,2,1
2024,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,2,2,1
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,2,2,1
2024,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,1,1,1
2024,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,2,2,1
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,2,2,1
2024,"MENENDEZ TORRES, CARLOTA",BAXI FERROL,2,2,1
2024,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,2,2,1
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,2,3,"0,67"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,1,5,"0,2"
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,5,4,"1,25"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,6,5,"1,2"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,6,5,"1,2"
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,2,2,1
2024,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,2,2,1
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,2,2,1
2024,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,1,1,1
2024,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,2,2,1
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,2,2,1
2024,"MENENDEZ TORRES, CARLOTA",BAXI FERROL,2,2,1
2024,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,2,2,1
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,2,3,"0,67"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,1,5,"0,2"
2023,"TORRENS SALOM, ALBA",VALENCIA B.C.,5,4,"1,25"
2023,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,5,4,"1,25"
2023,"BUENAVIDA ESTEVEZ, ELENA",VALENCIA B.C.,7,6,"1,17"
2023,"RODRIGUEZ ARRIBAS, LUCIA",PERFUMERIAS AVENIDA,2,2,1
2023,"AIJANEN, MARIA ANNIINA",BAXI FERROL,2,2,1
2023,"HERMOSA MONREAL, NEREA",CASADEMONT ZARAGOZA,4,4,1
2023,"SELLAND, MYAH ALEXANDRA",BAXI FERROL,2,2,1
2023,"KONIG, AISLINN CHIA PI",HOZONO GLOBAL JAIRIS,2,2,1
2023,"FAM THIAM, AWA",VALENCIA B.C.,2,2,1
2023,"DE SANTIAGO OTERO, BEGOÑA",MOVISTAR ESTUDIANTES,2,2,1
2023,"PARRA, FAUSTINE LAURE CLEMENCE",SPAR GIRONA,2,3,"0,67"
2023,"FEQUIERE, JESSICA",BAXI FERROL,1,2,"0,5"
2023,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2023,"GOMEZ FERNANDEZ, MARTA",BAXI FERROL,1,2,"0,5"
2023,"BETTENCOURT CORREIA, MARIA JOAO",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2023,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,3,6,"0,5"
2023,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,1,2,"0,5"
2023,"ÇAKIR TURGUT, OLCAY",PERFUMERIAS AVENIDA,3,6,"0,5"
