Temporada,Jugador,Equipo,Tot,Part,Med
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,21,5,"4,2"
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,15,4,"3,75"
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,15,5,3
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,5,2,"2,5"
2024,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,"JOINER, MOIRA MACY",BAXI FERROL,5,2,"2,5"
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,4,2,2
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4,2,2
2024,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,4,2,2
2024,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,4,2,2
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,4,2,2
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,4,2,2
2024,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,3,2,"1,5"
2024,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,"MELIA, CLAIRE",BAXI FERROL,3,2,"1,5"
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,3,2,"1,5"
2024,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,5,4,"1,25"
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,2,2,1
2024,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,2,2,1
2024,"MENENDEZ TORRES, CARLOTA",BAXI FERROL,2,2,1
