Temporada,Jugador,Equipo,Tot,Part,Med
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,49,4,"12,25"
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,18,2,9
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,17,2,"8,5"
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,33,4,"8,25"
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,16,2,8
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,38,5,"7,6"
2024,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,14,2,7
2024,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,13,2,"6,5"
2024,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,13,2,"6,5"
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,12,2,6
2024,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,12,2,6
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,12,2,6
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,26,5,"5,2"
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,5,1,5
2024,"MELIA, CLAIRE",BAXI FERROL,10,2,5
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,5,1,5
2024,"MESTRES RICART, GALA",BAXI FERROL,10,2,5
2024,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,5,1,5
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,20,4,5
2024,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,19,4,"4,75"
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,23,5,"4,6"
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,23,5,"4,6"
2024,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,23,5,"4,6"
2024,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,9,2,"4,5"
2024,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,9,2,"4,5"
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,22,5,"4,4"
2024,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,17,4,"4,25"
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,17,4,"4,25"
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,21,5,"4,2"
2024,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,7,4,"1,75"
2024,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,7,4,"1,75"
2024,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,7,4,"1,75"
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,5,3,"1,67"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,8,5,"1,6"
2024,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,3,2,"1,5"
2024,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,3,2,"1,5"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,6,5,"1,2"
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,2,2,1
2024,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,1,1,1
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,3,3,1
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,1,5,"0,2"
2024,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,7,4,"1,75"
2024,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,7,4,"1,75"
2024,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,7,4,"1,75"
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,5,3,"1,67"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,8,5,"1,6"
2024,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,3,2,"1,5"
2024,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2024,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,3,2,"1,5"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,6,5,"1,2"
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,2,2,1
2024,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,1,1,1
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,3,3,1
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,1,5,"0,2"
2023,"DE SANTIAGO OTERO, BEGOÑA",MOVISTAR ESTUDIANTES,4,2,2
2023,"MENDEZ CAMPS, LAURA",MOVISTAR ESTUDIANTES,4,2,2
2023,"POINTER, KHAYLA NICOLE",CASADEMONT ZARAGOZA,5,3,"1,67"
2023,"TORRENS SALOM, ALBA",VALENCIA B.C.,6,4,"1,5"
2023,"AIJANEN, MARIA ANNIINA",BAXI FERROL,3,2,"1,5"
2023,"REMBISZEWSKA, AMALIA",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2023,"FEQUIERE, JESSICA",BAXI FERROL,3,2,"1,5"
2023,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,2,2,1
2023,"RODRIGUEZ ARRIBAS, LUCIA",PERFUMERIAS AVENIDA,2,2,1
2023,"MOLINA CONESA, CARMEN SOL",HOZONO GLOBAL JAIRIS,1,1,1
2023,"FAM THIAM, AWA",VALENCIA B.C.,2,2,1
2023,"SELLAND, MYAH ALEXANDRA",BAXI FERROL,2,2,1
2023,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,2,2,1
2023,"KONIG, AISLINN CHIA PI",HOZONO GLOBAL JAIRIS,2,2,1
2023,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,5,6,"0,83"
2023,"ÇAKIR TURGUT, OLCAY",PERFUMERIAS AVENIDA,4,6,"0,67"
