Temporada,Jugador,Equipo,Tot,Part,Med
2024,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,3,2,"1,5"
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,5,4,"1,25"
2024,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,1,1,1
2024,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,2,2,1
2024,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,2,2,1
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,4,5,"0,8"
2024,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,3,5,"0,6"
2024,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,3,5,"0,6"
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,2,4,"0,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,2,5,"0,4"
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,2,5,"0,4"
2024,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,2,5,"0,4"
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,2,5,"0,4"
2024,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,1,3,"0,33"
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,1,4,"0,25"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,1,5,"0,2"
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,5,"0,2"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,1,5,"0,2"
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,1,5,"0,2"
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,1,5,"0,2"
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,1,5,"0,2"
2023,"MAWULI, STEPHANIE",MOVISTAR ESTUDIANTES,2,2,1
2023,"MAGARITY, REGAN AYLEEN",SPAR GIRONA,3,4,"0,75"
2023,"BERTSCH, MORGAN QUINN",SPAR GIRONA,3,4,"0,75"
2023,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,2,4,"0,5"
2023,"JUNIO MBULITO, IRIS",IDK EUSKOTREN,1,2,"0,5"
2023,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,1,2,"0,5"
2023,"WHALEN, ERIN PATRICIA",IDK EUSKOTREN,1,2,"0,5"
2023,"GULICH, MARIE ISABELLE",VALENCIA B.C.,3,6,"0,5"
2023,"MASSEY, BILLIE KIM",MOVISTAR ESTUDIANTES,1,2,"0,5"
2023,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,3,6,"0,5"
2023,"KALIN, MARIANNE FANNY",BAXI FERROL,1,2,"0,5"
2023,"ERAUNCETAMURGIL AYESTARAN, MARIA",VALENCIA B.C.,2,5,"0,4"
2023,"HATAR, BERNADETT",PERFUMERIAS AVENIDA,2,6,"0,33"
2023,"TOLO, MARIANNA",SPAR GIRONA,1,4,"0,25"
2023,"HERMOSA MONREAL, NEREA",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"DIALLO,  ZAINABE MYRIAM CHRISTELLE",CASADEMONT ZARAGOZA,1,4,"0,25"
2023,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,1,6,"0,17"
2023,"PRINCE , ALEXIS SADE",PERFUMERIAS AVENIDA,1,6,"0,17"
2023,"GINZO ARANTES, PAULA",VALENCIA B.C.,1,6,"0,17"
2023,"OUVIÑA MODREGO, CRISTINA",VALENCIA B.C.,1,6,"0,17"
2023,"HEMPE, MERRIT RAMONA",VALENCIA B.C.,1,6,"0,17"
2023,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,1,6,"0,17"
2023,"KONE , SIKA",PERFUMERIAS AVENIDA,1,6,"0,17"
