Temporada,Jugador,Equipo,Tot,Part,Med
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,3,2,"1,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,2,2,1
2024,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,2,2,1
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,1,1,1
2024,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,2,2,1
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,3,4,"0,75"
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,3,5,"0,6"
2024,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,3,5,"0,6"
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,3,5,"0,6"
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"MESTRES RICART, GALA",BAXI FERROL,1,2,"0,5"
2024,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,2,4,"0,5"
2024,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,"MATAIX GUILL, ANGELA",BAXI FERROL,1,2,"0,5"
2024,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,2,5,"0,4"
2024,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,1,4,"0,25"
2024,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,1,4,"0,25"
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,1,5,"0,2"
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,1,5,"0,2"
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,3,2,"1,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,2,2,1
2024,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,2,2,1
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,1,1,1
2024,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,2,2,1
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,3,4,"0,75"
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,3,5,"0,6"
