Temporada,Jugador,Equipo,Tot,Part,Med
2024,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,49,2,"24,5"
2024,"KONE , SIKA",PERFUMERIAS AVENIDA,83,4,"20,75"
2024,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,39,2,"19,5"
2024,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,89,5,"17,8"
2024,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,71,4,"17,75"
2024,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,35,2,"17,5"
2024,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,34,2,17
2024,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,81,5,"16,2"
2024,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,80,5,16
2024,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,30,2,15
2024,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,30,2,15
2024,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,30,2,15
2024,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,14,1,14
2024,"MILLAN MODIA, BLANCA",BAXI FERROL,28,2,14
2024,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,26,2,13
2024,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,51,4,"12,75"
2024,"IAGUPOVA, ALINA",VALENCIA B.C.,51,4,"12,75"
2024,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,63,5,"12,6"
2024,"HRISTOVA, BORISLAVA",SPAR GIRONA,50,4,"12,5"
2024,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,62,5,"12,4"
2024,"FIEBICH, LEONIE",VALENCIA B.C.,61,5,"12,2"
2024,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,12,1,12
2024,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,45,4,"11,25"
2024,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,56,5,"11,2"
2024,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,44,4,11
2024,"TURNER, YVONNE NICOLE",VALENCIA B.C.,55,5,11
2024,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,22,2,11
2024,"TORRENS SALOM, ALBA",VALENCIA B.C.,53,5,"10,6"
2024,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,40,4,10
2024,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,45,5,9
2024,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,6,2,3
2024,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,6,2,3
2024,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,9,5,"1,8"
2024,"MATAIX GUILL, ANGELA",BAXI FERROL,3,2,"1,5"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,6,5,"1,2"
2024,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,2,2,1
2024,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,4,5,"0,8"
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,2,3,"0,67"
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,-1,5,"-0,2"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,-2,4,"-0,5"
2024,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,-2,2,-1
2024,"RIBAS BOSCH, BERTA",SPAR GIRONA,-1,1,-1
2024,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,-5,2,"-2,5"
2024,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,6,2,3
2024,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,6,2,3
2024,"GINZO ARANTES, PAULA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,9,5,"1,8"
2024,"MATAIX GUILL, ANGELA",BAXI FERROL,3,2,"1,5"
2024,"MANÉ, MARIE",CASADEMONT ZARAGOZA,6,5,"1,2"
2024,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,2,2,1
2024,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,2,2,1
2024,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,4,5,"0,8"
2024,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,2,3,"0,67"
2024,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,-1,5,"-0,2"
2024,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,-2,4,"-0,5"
2024,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,-2,2,-1
2024,"RIBAS BOSCH, BERTA",SPAR GIRONA,-1,1,-1
2024,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,-5,2,"-2,5"
2023,"HORVAT, CHANTEL ANAIS",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2023,"MATAIX GUILL, ANGELA",BAXI FERROL,5,2,"2,5"
2023,"AIJANEN, MARIA ANNIINA",BAXI FERROL,5,2,"2,5"
2023,"HATAR, BERNADETT",PERFUMERIAS AVENIDA,14,6,"2,33"
2023,"MOLINA CONESA, CARMEN SOL",HOZONO GLOBAL JAIRIS,2,1,2
2023,"DE SANTIAGO OTERO, BEGOÑA",MOVISTAR ESTUDIANTES,4,2,2
2023,"GELDOF, SERENA LYNN PETRA",CASADEMONT ZARAGOZA,8,4,2
2023,"RODRIGUEZ ARRIBAS, LUCIA",PERFUMERIAS AVENIDA,4,2,2
2023,"KONIG, AISLINN CHIA PI",HOZONO GLOBAL JAIRIS,4,2,2
2023,"BUENAVIDA ESTEVEZ, ELENA",VALENCIA B.C.,11,6,"1,83"
2023,"REMBISZEWSKA, AMALIA",HOZONO GLOBAL JAIRIS,3,2,"1,5"
2023,"FEQUIERE, JESSICA",BAXI FERROL,3,2,"1,5"
2023,"GOMEZ FERNANDEZ, MARTA",BAXI FERROL,2,2,1
2023,"HERMOSA MONREAL, NEREA",CASADEMONT ZARAGOZA,3,4,"0,75"
2023,"TORRENS SALOM, ALBA",VALENCIA B.C.,3,4,"0,75"
2023,"POINTER, KHAYLA NICOLE",CASADEMONT ZARAGOZA,2,3,"0,67"
2023,"BETTENCOURT CORREIA, MARIA JOAO",HOZONO GLOBAL JAIRIS,-1,2,"-0,5"
2023,"DIAZ CASTELLANO, YURENA",IDK EUSKOTREN,-1,2,"-0,5"
2023,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,-1,2,"-0,5"
2023,"CARGOL BERGA, AINA",SPAR GIRONA,-1,1,-1
2023,"RIBAS BOSCH, BERTA",SPAR GIRONA,-1,1,-1
2023,"NELSON, CHELSEA KEIANA",HOZONO GLOBAL JAIRIS,-3,2,"-1,5"
2023,"DJIU MORRO, NOA MARIA",VALENCIA B.C.,-2,1,-2
2023,"HORVAT, CHANTEL ANAIS",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2023,"MATAIX GUILL, ANGELA",BAXI FERROL,5,2,"2,5"
