Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
PARRA, FAUSTINE LAURE CLEMENCE;2021;SPAR GIRONA;3.0;9.97;3.33;0.67;1.0;0.67;0.67;1.67;0.4;0.0;0.0;0.0;0.33;1.33;1.67;0.67;0.67;1.0;0.0;0.0;0.0;1.33;0.0;2.67
NAVARRO LLORCA, CANDIDA;2009;HONDARRIBIA - IRÚN;19.0;9.96;2.32;0.95;2.21;0.43;0.0;0.05;0.0;0.42;0.58;0.73;0.26;1.16;1.42;0.37;0.11;0.47;0.11;0.0;0.0;1.32;0.63;1.68
CORRALES BOHOYO, ELENA;2017;NISSAN  AL-QÁZERES EXTREMADURA;26.0;9.95;1.46;0.35;1.15;0.3;0.15;0.46;0.33;0.31;0.35;0.89;0.27;0.23;0.5;0.46;0.38;0.69;0.0;0.12;0.0;0.81;0.35;0.38
HERNANDEZ ORTIZ, ZOE;2019;MANN-FILTER CASABLANCA;19.0;9.95;2.79;0.32;0.63;0.5;0.68;1.21;0.57;0.11;0.11;1.0;0.21;0.89;1.11;0.37;0.47;0.47;0.05;0.11;0.0;0.95;0.26;2.68
MILOGLAV, CARMEN;2016;PERFUMERIAS AVENIDA;11.0;9.94;1.27;0.36;0.55;0.67;0.18;1.55;0.12;0.0;0.0;0.0;0.09;0.82;0.91;0.55;0.64;1.73;0.09;0.0;0.0;1.55;0.18;-1.18
PIVEC, MIKAYLA DENALI;2024;LOINTEK GERNIKA BIZKAIA;11.0;9.94;2.45;0.73;1.45;0.5;0.09;0.55;0.17;0.73;1.0;0.73;0.45;1.27;1.73;0.36;0.27;0.73;0.09;0.18;0.0;2.45;1.0;1.27
DEZ FERNNDEZ, COVADONGA;2000;VETUSTA OVIEDO;13.0;9.92;2.92;1.15;2.69;0.43;0.08;0.31;0.25;0.38;0.46;0.83;0.85;1.38;2.23;0.23;0.15;0.38;0.0;0.08;0.0;1.15;0.31;2.38
ALAMO GONZALEZ, ELENA MARIA;2001;CAJA RURAL DE CANARIAS;23.0;9.91;2.09;0.22;1.22;0.18;0.35;0.87;0.4;0.61;0.83;0.74;0.22;0.43;0.65;0.74;0.87;1.43;0.04;0.09;0.0;1.78;1.17;0.52
STEN, TIINA IRENE;2009;MANN FILTER ZARAGOZA;26.0;9.91;3.58;1.0;2.08;0.48;0.31;0.65;0.47;0.65;0.92;0.71;0.38;0.5;0.88;0.23;0.15;0.62;0.19;0.12;0.0;1.73;0.85;1.73
GIMENO MELENDO, LAURA;2013;CADI - ICG SOFTWARE;10.0;9.88;1.2;0.6;3.1;0.19;0.0;0.2;0.0;0.0;0.0;0.0;1.0;1.1;2.1;0.5;0.6;0.8;0.1;0.0;0.0;1.5;0.2;-0.3
CHRISTINAKI, ELEANNA;2021;KUTXABANK ARASKI;12.0;9.87;1.33;0.17;1.5;0.11;0.33;0.83;0.4;0.0;0.08;0.0;0.33;0.67;1.0;0.42;0.33;0.42;0.0;0.08;0.0;1.08;0.42;0.08
LOPEZ FERNANDEZ, MARIA PAZ;1997;CD ENSINO;21.0;9.86;1.86;0.29;0.43;0.67;0.29;1.19;0.24;0.43;0.86;0.5;0.1;0.71;0.81;0.29;0.38;0.95;0.0;0.1;0.0;1.62;0.76;-0.05
EPELDE BIKENDI, AINARA;2015;AÑARES RIOJA ISB;14.0;9.86;0.57;0.14;0.43;0.33;0.07;0.36;0.2;0.07;0.29;0.25;0.21;0.29;0.5;0.21;0.43;0.57;0.0;0.07;0.0;0.79;0.29;-0.21
RODRIGUEZ DOMINGUEZ, NATALIA;2016;SPAR GRAN CANARIA;24.0;9.86;2.67;0.25;0.71;0.35;0.71;1.88;0.38;0.04;0.08;0.5;0.21;1.17;1.38;0.38;0.29;0.58;0.0;0.0;0.0;1.21;0.12;1.38
LOPEZ RODRIGUEZ, AINHOA;2019;DURAN MAQUINARIA ENSINO;22.0;9.85;2.64;0.5;1.73;0.29;0.45;1.55;0.29;0.27;0.68;0.4;0.23;0.82;1.05;0.82;0.45;0.91;0.05;0.32;0.0;1.14;0.82;0.73
CHECA JIMENO, MARIA TERESA;2003;UNIVERSITAT DE BARCELONA - F.C. BARCELONA;6.0;9.83;1.83;0.0;1.33;0.0;0.5;1.83;0.27;0.33;1.0;0.33;0.33;0.33;0.67;0.83;0.33;0.5;0.0;0.17;0.0;1.5;0.83;-1.0
DELGADO PONTES, MARINA;2010;RC CELTA INDEPO;13.0;9.79;1.38;0.54;1.46;0.37;0.08;0.23;0.33;0.08;0.31;0.25;0.31;0.69;1.0;0.54;0.62;0.92;0.0;0.08;0.0;0.92;0.23;0.54
LARRAAGA MUGURUZA, ENERITZ;2015;AÑARES RIOJA ISB;5.0;9.74;2.2;0.2;1.8;0.11;0.6;1.8;0.33;0.0;0.0;0.0;0.2;0.4;0.6;0.0;0.4;1.2;0.0;0.0;0.0;0.8;0.0;-1.6
PESQUERO POVEDA, AFRICA;2002;USP CEU - ADECCO ESTUDIANTES;11.0;9.73;0.82;0.18;0.82;0.22;0.0;0.27;0.0;0.45;0.73;0.62;0.18;0.55;0.73;0.18;0.0;0.27;0.09;0.09;0.0;1.09;0.64;-0.18
RODRIGUEZ NUEZ, CLARA;2017;MOVISTAR ESTUDIANTES;22.0;9.73;1.14;0.5;1.27;0.39;0.0;0.0;0.0;0.14;0.14;1.0;0.55;0.91;1.45;0.55;0.18;0.32;0.18;0.05;0.0;0.95;0.45;1.86
NASCIMENTO, FRANCIELE APARECIDA;2008;RIVAS ECÓPOLIS;13.0;9.72;2.31;0.92;3.08;0.3;0.08;0.08;1.0;0.23;0.31;0.75;0.31;0.77;1.08;0.31;0.23;1.08;0.23;0.08;0.0;1.62;0.62;-0.23
FALL, SOKHNA ADJI;2020;SPAR GRAN CANARIA;30.0;9.72;1.73;0.83;1.7;0.49;0.0;0.0;0.0;0.07;0.2;0.33;0.7;0.57;1.27;0.2;0.23;0.7;0.1;0.1;0.0;1.97;0.5;0.37
DACIC, DUBRAVKA;2008;CIUDAD ROS CASARES;13.0;9.71;3.46;1.54;2.23;0.69;0.0;0.0;0.0;0.38;0.62;0.62;0.62;1.92;2.54;0.0;0.23;1.31;0.38;0.15;0.0;1.62;0.38;3.0
SALCEDO GADEA, ELENA;2014;CAMPUS PROMETE;25.0;9.71;1.44;0.48;1.28;0.38;0.12;0.68;0.18;0.12;0.4;0.3;0.0;0.8;0.8;0.72;0.36;0.64;0.0;0.0;0.0;0.68;0.76;1.12
MERCADAL ESCOLANO, PAOLA;2007;MANN FILTER ZARAGOZA;21.0;9.7;1.19;0.29;0.81;0.35;0.14;0.71;0.2;0.19;0.48;0.4;0.52;0.81;1.33;0.24;0.19;0.43;0.05;0.05;0.0;1.1;0.62;0.67
RODRGUEZ RAMOS, ANDREA;2021;TENERIFE;6.0;9.68;0.5;0.17;1.0;0.17;0.0;0.0;0.0;0.17;0.33;0.5;0.17;0.33;0.5;0.0;0.17;0.33;0.0;0.5;0.0;0.83;0.5;-0.5
OMA GIRALT, HELENA;2016;SPAR CITYLIFT GIRONA;22.0;9.63;1.86;0.73;2.0;0.36;0.0;0.23;0.0;0.41;0.64;0.64;0.68;1.09;1.77;0.59;0.59;0.32;0.18;0.09;0.0;0.91;0.45;2.41
COULIBALY, NAIGNOUMA;2024;CADI LA SEU;12.0;9.63;4.17;1.58;3.0;0.53;0.0;0.0;0.0;1.0;1.92;0.52;1.33;1.92;3.25;0.17;0.25;1.83;0.25;0.0;0.0;1.42;1.67;4.17
NAVARRETE TRUJILLO, MIREIA;2008;PERFUMERIAS AVENIDA;21.0;9.62;2.9;0.76;1.38;0.55;0.33;1.29;0.26;0.38;0.76;0.5;0.24;1.14;1.38;0.19;0.24;0.62;0.0;0.0;0.0;0.9;0.67;1.9
GARCA SALINERO, LAURA;1999;REAL CANOE N.C.;23.0;9.61;1.91;0.61;1.48;0.41;0.09;0.61;0.14;0.43;0.61;0.71;0.35;0.7;1.04;0.0;0.26;0.26;0.09;0.04;0.0;0.87;0.17;0.74
RAMIRO DIAZ, NURIA MARIA;2000;A.D. CORTEGADA;20.0;9.6;1.8;0.7;1.7;0.41;0.0;0.0;0.0;0.4;0.6;0.67;0.35;1.4;1.75;0.0;0.1;0.45;0.15;0.0;0.0;1.1;0.2;1.25
DIALLO DIENG, UMO DIALLO;2020;PERFUMERIAS AVENIDA;22.0;9.6;2.45;1.09;2.55;0.43;0.0;0.0;0.0;0.27;0.68;0.4;0.45;1.23;1.68;0.41;0.14;0.36;0.05;0.05;0.0;1.41;0.5;1.59
SEGUI CARLES, PAULA;2000;UNIVERSITAT DE BARCELONA;14.0;9.57;1.5;0.5;1.5;0.33;0.0;0.0;0.0;0.5;0.64;0.78;0.79;1.21;2.0;0.64;0.71;0.71;0.21;0.0;0.0;1.71;0.86;2.36
SIOL GISPERT, BERTA;2009;ARGÓN UNI GIRONA;20.0;9.57;1.6;0.45;1.1;0.41;0.15;1.1;0.14;0.25;0.35;0.71;0.2;0.95;1.15;0.45;0.25;0.95;0.0;0.1;0.0;0.5;0.9;1.1
MENENDEZ ANTOLI, CELIA MARIA;2009;REAL CANOE N.C.;21.0;9.56;3.05;0.81;1.67;0.49;0.19;0.76;0.25;0.86;1.33;0.64;0.1;0.95;1.05;0.76;0.24;1.1;0.1;0.05;0.0;0.76;0.86;2.24
ABALDE DIAZ, TAMARA;2014;PERFUMERIAS AVENIDA;21.0;9.55;2.71;1.1;2.14;0.51;0.05;0.14;0.33;0.38;0.52;0.73;0.38;1.0;1.38;0.48;0.48;0.48;0.1;0.05;0.0;1.38;0.67;2.62
GRACIA PARDOS, M MERCEDES;2000;BASKET ZARAGOZA;17.0;9.53;1.76;0.65;1.82;0.35;0.0;0.12;0.0;0.47;0.65;0.73;0.29;0.53;0.82;0.0;0.24;0.59;0.12;0.0;0.0;0.59;0.41;0.71
VANDIVER, AUBREY LINSEY;2011;GRAN CANARIA 2014 LA CAJA DE CANARIAS;4.0;9.51;0.75;0.0;0.5;0.0;0.25;1.25;0.2;0.0;0.5;0.0;0.75;0.75;1.5;0.5;0.25;0.75;0.0;0.0;0.0;0.75;0.25;-0.25
