Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'ABAD MOYANO, CRISTINA';['ALTER ENERSUN AL-QÁZERES EXTREMADURA'];1.0;7.73;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ABALDE DIAZ, TAMARA';['KUTXABANK ARASKI'];27.0;27.45;7.89;3.3;7.33;0.45;0.0;0.11;0.0;1.3;2.93;0.44;1.19;3.07;4.26;1.41;0.7;1.3;0.33;0.19;0.0;2.07;3.07;8.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ABDI, FARHIYA';['CIUDAD DE LA LAGUNA TENERIFE'];7.0;12.33;2.86;0.86;2.29;0.38;0.14;0.57;0.25;0.71;1.0;0.71;0.86;2.0;2.86;0.43;0.0;0.43;0.14;0.0;0.0;1.71;1.71;3.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALARCON OTERO, TXELL';['CAMPUS PROMETE'];25.0;15.56;5.12;0.6;1.28;0.47;1.24;2.2;0.56;0.2;0.24;0.83;0.12;1.08;1.2;0.72;0.36;0.36;0.0;0.0;0.0;0.8;0.76;5.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALARIE, ISABELLA AUGUSTINE';['PERFUMERIAS AVENIDA'];7.0;17.58;6.0;2.14;5.71;0.38;0.43;1.29;0.33;0.43;0.86;0.5;2.29;2.71;5.0;0.43;0.57;0.71;0.14;0.14;0.0;2.0;0.71;5.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALBERDI LARRUCEA, MARTA';['LOINTEK GERNIKA BIZKAIA'];11.0;5.91;1.55;0.36;1.0;0.36;0.18;0.91;0.2;0.27;0.55;0.5;0.27;0.27;0.55;0.09;0.0;0.18;0.09;0.0;0.0;0.91;0.36;-0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALIAGA ROMERO, LAURA';['DURAN MAQUINARIA ENSINO'];30.0;24.61;6.6;1.1;2.83;0.39;1.4;4.0;0.35;0.2;0.2;1.0;0.37;1.63;2.0;1.17;0.8;1.4;0.07;0.03;0.0;2.3;0.5;3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALLEN, REBECCA';['VALENCIA B.C.'];29.0;23.1;11.45;2.55;4.79;0.53;1.86;4.62;0.4;0.76;1.0;0.76;0.41;2.59;3.0;0.79;1.45;1.1;0.59;0.07;0.0;2.28;1.17;9.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALONSO DE ARMIO RIAO, GRACIA';['MOVISTAR ESTUDIANTES'];29.0;17.58;4.83;1.59;3.34;0.47;0.34;1.24;0.28;0.62;1.0;0.62;1.34;1.41;2.76;1.1;0.93;0.93;0.07;0.0;0.0;1.93;1.07;4.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARIZTIMUO LOPEZ, ITZIAR';['LOINTEK GERNIKA BIZKAIA'];30.0;14.71;2.67;0.83;1.6;0.52;0.17;0.8;0.21;0.5;0.77;0.65;0.37;1.37;1.73;1.23;0.6;1.13;0.03;0.0;0.0;1.23;1.47;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
